Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
TN23-kataster_qkm,Bodenfläche gesamt qkm,834,1,99.88,2023,2023,Katasterfläche in km²,Absolutzahlen,(no sub-dimension),Basic population and structural counts
a_G02_SUP_ANT,Nahversorgung Supermarkt/Discounter,834,1,99.88,2023,2023,Anteil Einwohner mit max. 1000m Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_Minijobs,Anteil Minijobs an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_OEV20_ANT,Nahversorgung ÖV Haltestelle,834,1,99.88,2022,2022,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_P01_PRIM_ANT,Nahversorgung Grundschule,834,1,99.88,2023,2023,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_Q01_APO_ANT,Nahversorgung Apotheke,834,1,99.88,2023,2023,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_Q07_HA_ANT,Nahversorgung Hausarzt,834,1,99.88,2023,2023,Anteil Einwohner mit max. 1000m Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_aloLang,Langzeitarbeitslose,834,1,99.88,2021,2023,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_aloLang_f,Weibliche Langzeitarbeitslose,834,1,99.88,2007,2023,"Anteil der weiblichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den weiblichen Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_aloLang_m,Männliche Langzeitarbeitslose,834,1,99.88,2013,2023,"Anteil der männlichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den männlichen Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_ausländer,Ausländische Arbeitslose,834,1,99.88,2021,2023,Anteil der ausländischen Arbeitslosen an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_ausländer_f,Ausländische weibliche Arbeitslose,834,1,99.88,2007,2023,Anteil der ausländischen weiblichen  Arbeitslosen an den weiblichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_ausländer_m,Ausländische männliche Arbeitslose,834,1,99.88,2013,2023,Anteil der ausländischen männlichen Arbeitslosen an den männlichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_experte,Arbeitslose mit Anforderungsniveau Experte,834,1,99.88,2021,2023,Anteil Arbeitslose Anforderungsniveau Experte an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_f,Arbeitslose Frauen,834,1,99.88,2021,2023,Anteil der arbeitslosen Frauen an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Allgemein,Labour market and employment
a_alo_fachkraft,Arbeitslose mit Anforderungsniveau Fachkraft,834,1,99.88,2021,2023,Anteil Arbeitslose Anforderungsniveau Fachkraft an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_helfer,Arbeitslose mit Anforderungsniveau Helfer,834,1,99.88,2021,2023,Anteil Arbeitslose Anforderungsniveau Helfer an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_m,Arbeitslose Männer,834,1,99.88,2021,2023,Anteil der arbeitslosen Männer an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Allgemein,Labour market and employment
a_alo_oAusb,Arbeitslose ohne Ausbildung,834,1,99.88,2021,2023,Anteil der Arbeitslosen ohne Berufsausbildung an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_spezialist,Arbeitslose mit Anforderungsniveau Spezialist,834,1,99.88,2021,2023,Anteil Arbeitslose Anforderungsniveau Spezialist an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment
a_alo_u25,Anteil jüngere Arbeitslose,834,1,99.88,2021,2023,Anteil der Arbeitslosen unter 25 Jahren an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_alo_u25_f,Anteil weibliche jüngere Arbeitslose,834,1,99.88,2007,2023,Anteil der weiblichen Arbeitslosen unter 25 Jahren an den weiblichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_alo_u25_m,Anteil männliche jüngere Arbeitslose,834,1,99.88,2013,2023,Anteil der männlichen Arbeitslosen unter 25 Jahren an den männlichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_alo_ü55,Anteil ältere Arbeitslose,834,1,99.88,2021,2023,Anteil der Arbeitslosen 55 Jahre und älter an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_alo_ü55_f,Anteil weibliche ältere Arbeitslose,834,1,99.88,2007,2023,Anteil der weiblichen Arbeitslosen 55 Jahre und älter an den weiblichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_alo_ü55_m,Anteil männliche ältere Arbeitslose,834,1,99.88,2013,2023,Anteil der männlichen Arbeitslosen 55 Jahre und älter an den männlichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
a_ausp_svw,Auspendler,834,1,99.88,2023,2023,Anteil der Auspendler an den SV Beschäftigten am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
a_bb_1000Mbits,Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,834,1,99.88,2022,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_bb_100Mbits,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,834,1,99.88,2023,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_bb_4G,Arbeitslosigkeit,834,1,99.88,2023,2023,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit,"Health, services and accessibility"
a_bb_50Mbits,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,834,1,99.88,2023,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility"
a_bev0003,Einwohner unter 3 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev0306,Einwohner von 3 bis unter 6 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev0618,Einwohner von 6 bis unter 18 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev1825,Einwohner von 18 bis unter 25 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev1825_f,"Einwohner von 18 bis unter 25 Jahren, Frauen",834,1,99.88,2022,2023,Anteil der weiblichen Einwohner von 18 bis unter 25 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev2530,Einwohner von 25 bis unter 30 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 25 bis unter 30 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev2530_f,"Einwohner von 25 bis unter 30 Jahren, Frauen",834,1,99.88,2022,2023,Anteil der weiblichen Einwohner von 25 bis unter 30 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev3050,Einwohner von 30 bis unter 50 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 30 bis unter 50 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev5065,Einwohner von 50 bis unter 65 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 50 bis unter 65 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev6575,Einwohner von 65 bis unter 75 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 65 bis unter 75 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev6575_f,"Einwohner von 65 bis unter 75 Jahren, Frauen",834,1,99.88,2023,2023,Anteil der weiblichen Einwohner von 65 bis unter 75 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev65um,Einwohner 65 Jahre und älter,834,1,99.88,2023,2023,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev65um_f,"Einwohner 65 Jahre und älter, Frauen",834,1,99.88,2023,2023,Anteil der weiblichen Einwohner 65 Jahre und älter an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev75um,Einwohner 75 Jahre und älter,834,1,99.88,2023,2023,Anteil der Einwohner 75 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bev75um_f,"Einwohner 75 Jahre und älter, Frauen",834,1,99.88,2023,2023,Anteil der weiblichen Einwohner 75 Jahre und älter an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bevMZ,Bevölkerung in Mittelzentren,834,1,99.88,2023,2023,"Bevölkerungsanteil, der in Mittelzentren und möglichen Mittelzentren lebt",Siedlungsstruktur,(no sub-dimension),Demography and household structure
a_bevOZ,Bevölkerung in Oberzentren,834,1,99.88,2023,2023,"Bevölkerungsanteil, der in Oberzentren und möglichen Oberzentren lebt",Siedlungsstruktur,(no sub-dimension),Demography and household structure
a_bev_0006,Einwohner unter 6 Jahre,834,1,99.88,2023,2023,Anteil der Einwohner unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
a_bevd150_,Ländlichkeit,834,1,99.88,2023,2023,Anteil der Einwohner in Gemeinden mit einer Bevölkerungsdichte von unter 150 E/km²,Siedlungsstruktur,(no sub-dimension),Demography and household structure
a_bevf,Frauenanteil,834,1,99.88,2023,2023,Anteil der Frauen an den Einwohnern in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
a_bevf_2040,Frauenanteil 20 bis unter 40 Jahre,834,1,99.88,2023,2023,Anteil der Frauen an den Einwohnern von 20 bis unter 40 Jahren in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
a_einp_sva,Einpendler,834,1,99.88,2012,2023,Anteil der Einpendler an den SV Beschäftigten am Arbeitsort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
a_erh,Erholungsfläche,834,1,99.88,2023,2023,Anteil Erholungsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_fert_wohn,Fertiggestellte Wohnungen je Wohnung im Bestand,834,1,99.88,2023,2023,Fertiggestellte Wohnungen je 1.000 Wohnungen des Bestandes,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
a_freifläche,Freifläche,834,1,99.88,2023,2023,Anteil Freifläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_gb_Frauen,Anteil Minijobs (Frauen),834,1,99.88,2020,2023,Anteil der geringfügig entlohnten weiblichen Beschäftigten an den geringfügig entlohnten Beschäftigten am Arbeitsort in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_Männer,Anteil Minijobs (Männer),834,1,99.88,2020,2023,Anteil der geringfügig entlohnten männlichen Beschäftigten an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_knj,Anteil Minijobs (ausschließlich) an geringfügig Beschäftigten,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_knj_prBv,Anteil Minijobs (ausschließlich) an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_nj,Anteil Minijobs (Nebenverdienst),834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten im Nebenjob an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_nj_prBv,Anteil Minijobs (Nebenverdienst) an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort im Nebenjob an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_geb_bev,Geborene,834,1,99.88,2021,2022,Geborene je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,Demography and household structure
