var1,var2,correlation,abs_correlation
a_gen_wo12,a_gen_wo3um,-1,1
a_stud_m,a_stud_w,-1,1
a_wo_wg12,a_wo_wg3um,-1,1
bev_korr,xbev,1,1
a_gb_Frauen,a_gb_Männer,-0.9999999999999999,0.9999999999999999
bev_korr,xbevf,0.999996712956401,0.999996712956401
xbev,xbevf,0.999996712956401,0.999996712956401
bev_korr,xbevm,0.9999964500110543,0.9999964500110543
xbev,xbevm,0.9999964500110543,0.9999964500110543
xbevf,xbevm,0.9999863310164391,0.9999863310164391
ewf_1565_ges,xbevf,0.9999144918370846,0.9999144918370846
bev_korr,ewf_1565_ges,0.9999134434343496,0.9999134434343496
ewf_1565_ges,xbev,0.9999134434343496,0.9999134434343496
ewf_1565_ges,xbevm,0.9999053885321703,0.9999053885321703
a_wg_wo12,a_wg_wo3um,-0.999800058401334,0.999800058401334
ewf_1565_ges,svw,0.9996475106473399,0.9996475106473399
svw,xbevf,0.9995669289864202,0.9995669289864202
bev_korr,svw,0.9995612557941937,0.9995612557941937
svw,xbev,0.9995612557941937,0.9995612557941937
svw,xbevm,0.9995483971357171,0.9995483971357171
sva,svw,0.9975558448767871,0.9975558448767871
alo,ewf_1565_ges,0.9960676733722902,0.9960676733722902
alo,xbevf,0.9960085636241879,0.9960085636241879
alo,bev_korr,0.9959952042421162,0.9959952042421162
alo,xbev,0.9959952042421162,0.9959952042421162
alo,xbevm,0.9959743827228041,0.9959743827228041
ewf_1565_ges,sva,0.9957887635265322,0.9957887635265322
sva,xbevf,0.9954248366192722,0.9954248366192722
bev_korr,sva,0.9953627017506333,0.9953627017506333
sva,xbev,0.9953627017506333,0.9953627017506333
sva,xbevm,0.9952911957976038,0.9952911957976038
alo,svw,0.993701030335652,0.993701030335652
q_bev_fl,q_bevsva_qkm,0.9936013077179452,0.9936013077179452
q_stud,q_stud_1825,0.9933986711419005,0.9933986711419005
d_steuereinnahme,q_gest_bev,0.9925411205708325,0.9925411205708325
a_fert_wohn,q_fert_wo_bev,0.9922829683127823,0.9922829683127823
a_bev65um,q_abhg_alt,0.990770063588343,0.990770063588343
a_freifläche,a_suv_fl,-0.9881503570324489,0.9881503570324489
d_steuereinnahme,q_gewst_bev,0.9857353800372183,0.9857353800372183
alo,sva,0.9855562403031234,0.9855562403031234
