PC,variable,loading,abs_loading
PC1,a_wo_wg12,0.16795752895814087,0.16795752895814087
PC1,a_wo_wg3um,-0.16795752895814087,0.16795752895814087
PC1,a_wg_wo12,0.16142001698718625,0.16142001698718625
PC1,a_wg_wo3um,-0.16128870306341414,0.16128870306341414
PC1,a_Q01_APO_ANT,-0.15695046731101905,0.15695046731101905
PC1,q_ew_suv_qkm,-0.1568101971085865,0.1568101971085865
PC1,a_G02_SUP_ANT,-0.1514808480622638,0.1514808480622638
PC1,a_wo_r5um,0.15018657576836725,0.15018657576836725
PC2,m_bev_alter,0.2111449866932061,0.2111449866932061
PC2,a_bev65um,0.20707829528257,0.20707829528257
PC2,q_abhg_alt,0.2014999641126751,0.2014999641126751
PC2,q_einkst_bev,-0.19275515648741803,0.19275515648741803
PC2,a_bev6575,0.19252673871701043,0.19252673871701043
PC2,a_bev_0006,-0.15094407479178484,0.15094407479178484
PC2,q_kaufkraft,-0.14454634813706005,0.14454634813706005
PC2,a_bev2530,-0.1408450869526408,0.1408450869526408
PC3,ewf_1565_ges,0.2764024210736821,0.2764024210736821
PC3,svw,0.27630732083707044,0.27630732083707044
PC3,xbevm,0.27606668545175944,0.27606668545175944
PC3,bev_korr,0.27603773633766665,0.27603773633766665
PC3,xbev,0.27603773633766665,0.27603773633766665
PC3,sva,0.27601433272319986,0.27601433272319986
PC3,xbevf,0.2760080296771421,0.2760080296771421
PC3,alo,0.27444676645312127,0.27444676645312127
PC4,q_svw_ü55,0.2365603047418907,0.2365603047418907
PC4,q_svw_f,0.21646508247178745,0.21646508247178745
PC4,q_svw,0.20241628081501595,0.20241628081501595
PC4,i_fz_oz,-0.19858217533476716,0.19858217533476716
PC4,m_ErrAir_bev,-0.18726296281949445,0.18726296281949445
PC4,m_ErrBAB_bev,-0.17063905762943957,0.17063905762943957
PC4,a_pend50,-0.1657103730324419,0.1657103730324419
PC4,a_alo_oAusb,-0.16121348027493862,0.16121348027493862
PC5,q_umsst,-0.3592689860984031,0.3592689860984031
PC5,q_gest_bev,-0.3557382780632197,0.3557382780632197
PC5,d_steuereinnahme,-0.3502530136366915,0.3502530136366915
PC5,q_sach,-0.3452370948502645,0.3452370948502645
PC5,q_gewst_bev,-0.3291993583049573,0.3291993583049573
PC5,q_naturnah_bev,-0.2788950322208804,0.2788950322208804
PC5,q_erhfl_bev,-0.16168554021154116,0.16168554021154116
PC5,q_freifläche_bev,-0.1534466195894275,0.1534466195894275
PC6,a_bev_0006,-0.2050496916526037,0.2050496916526037
PC6,q_abhg_jung,-0.19796800859550936,0.19796800859550936
PC6,m_bev_alter,0.18163438524820782,0.18163438524820782
PC6,a_bev0306,-0.17959085409021325,0.17959085409021325
PC6,a_aloLang,-0.17900504465502687,0.17900504465502687
PC6,q_kaufkraft,0.1666089728024159,0.1666089728024159
PC6,q_alo_ü55_einw_m,-0.1655671287315198,0.1655671287315198
PC6,q_einkst_bev,0.16318521714983197,0.16318521714983197
PC7,q_fert_wo_bev,0.24187218321675152,0.24187218321675152
PC7,a_fert_wohn,0.2393332795658909,0.2393332795658909
PC7,q_fert_wo3um_bev,0.18057887728809335,0.18057887728809335
PC7,q_stud,-0.17718796020188526,0.17718796020188526
PC7,q_stud_1825,-0.1747570054484308,0.1747570054484308
PC7,e10_bev,0.17084195164548246,0.17084195164548246
PC7,q_stud_fh,-0.16421700934253283,0.16421700934253283
PC7,a_bev1825,-0.16361340298352745,0.16361340298352745
PC8,a_BGKind,-0.1953725179674157,0.1953725179674157
PC8,a_ewfBG_allein,-0.1864954844102005,0.1864954844102005
PC8,a_BG1P,0.1713397775023728,0.1713397775023728
PC8,a_ewfBG,0.16366367249666874,0.16366367249666874
PC8,a_alo_ü55_f,0.15372789410878507,0.15372789410878507
PC8,a_alo_ü55,0.1520160810785221,0.1520160810785221
PC8,q_alo_ü55_einw,0.15129539028286534,0.15129539028286534
PC8,a_ewfBG_f,-0.13772637784845684,0.13772637784845684
