PC,eigenvalue,variance,cumulative
1,4.6997667037843325,0.27645686492849014,0.27645686492849014
2,3.3583337971988754,0.1975490468940515,0.47400591182254165
3,1.4544888514212089,0.08555816773065934,0.559564079553201
4,1.2726288342397762,0.0748605196611633,0.6344245992143642
5,0.9664979057486593,0.056852817985215257,0.6912774171995795
6,0.9075076723002191,0.053382804252954066,0.7446602214525335
7,0.7536540550613422,0.0443325914741966,0.7889928129267301
8,0.7222065565016055,0.042482738617741496,0.8314755515444716
9,0.6683192341224286,0.039312896124848735,0.8707884476693204
10,0.5302161151422723,0.031189183243663075,0.9019776309129834
11,0.5112271676880161,0.030072186334589183,0.9320498172475726
12,0.3531158082624813,0.020771518133087134,0.9528213353806597
13,0.2419549568134339,0.014232644518437289,0.967053979899097
14,0.21736444948495665,0.01278614408735039,0.9798401239864474
15,0.17204032651648177,0.010120019206851868,0.9899601431932993
16,0.16239562586407866,0.009552683874357568,0.9995128270676569
17,0.008281939849834073,4.8717293234318076e-4,1
