var1,var2,correlation,abs_correlation
a_bev65um,q_abhg_alt,0.990770063588343,0.990770063588343
q_HH1,a_hh_kind,-0.7943827774232086,0.7943827774232086
q_kaufkraft,q_einkst_bev,0.7393895967327639,0.7393895967327639
m_G02_SUP_DIST,m_Q01_APO_DIST,0.7338539890527931,0.7338539890527931
m_G02_SUP_DIST,m_Q07_HA_DIST,0.7233949698097677,0.7233949698097677
m_Q01_APO_DIST,m_Q07_HA_DIST,0.7223837587030575,0.7223837587030575
q_kaufkraft,a_hheink_niedrig,-0.616220665955677,0.616220665955677
q_einkst_bev,a_hheink_niedrig,-0.5814651585505713,0.5814651585505713
m_Q01_APO_DIST,m_OEV20_DIST,0.5535022499208202,0.5535022499208202
m_Q07_HA_DIST,m_OEV20_DIST,0.5371061812282262,0.5371061812282262
q_einkst_bev,q_abhg_alt,-0.5229315858686996,0.5229315858686996
q_einkst_bev,a_bev65um,-0.5210880754684795,0.5210880754684795
a_bev65um,a_hh_kind,-0.4885208072184533,0.4885208072184533
m_Q07_HA_DIST,q_ärzte_bev,-0.48628500360735455,0.48628500360735455
q_abhg_alt,a_hh_kind,-0.4778636572331418,0.4778636572331418
q_alo_u25_einw,q_HH1,0.4650540936476346,0.4650540936476346
q_HH1,q_ärzte_bev,0.4344990847436673,0.4344990847436673
m_G02_SUP_DIST,m_OEV20_DIST,0.4325526076176171,0.4325526076176171
a_Minijobs,q_einkst_bev,0.42872470758680886,0.42872470758680886
q_alo_u25_einw,a_hh_kind,-0.3870336934985562,0.3870336934985562
a_hh_kind,q_ärzte_bev,-0.38441429534824195,0.38441429534824195
q_HH1,m_G02_SUP_DIST,-0.3787259706701174,0.3787259706701174
q_HH1,m_Q01_APO_DIST,-0.3710002181672051,0.3710002181672051
m_G02_SUP_DIST,q_ärzte_bev,-0.3633772566336306,0.3633772566336306
a_Minijobs,q_ärzte_bev,-0.3406083205623269,0.3406083205623269
q_alo_u25_einw,q_einkst_bev,-0.33620608356980597,0.33620608356980597
a_Minijobs,m_Q07_HA_DIST,0.3335382048591492,0.3335382048591492
a_hh_kind,m_G02_SUP_DIST,0.32698779521849525,0.32698779521849525
a_bev65um,q_HH1,0.31776856664058356,0.31776856664058356
a_hh_kind,m_Q01_APO_DIST,0.3147237976354613,0.3147237976354613
q_abhg_alt,q_HH1,0.31397114913410545,0.31397114913410545
a_aloLang,q_einkst_bev,-0.3112163485365119,0.3112163485365119
a_ALGII_SGBII,q_einkst_bev,-0.3095136614006269,0.3095136614006269
q_HH1,m_Q07_HA_DIST,-0.30682499172351424,0.30682499172351424
a_hheink_niedrig,a_bev65um,0.3028666978814248,0.3028666978814248
a_hheink_niedrig,q_abhg_alt,0.29765702296467605,0.29765702296467605
a_Minijobs,a_bev65um,-0.29756345798423645,0.29756345798423645
a_Minijobs,q_abhg_alt,-0.29687451838339735,0.29687451838339735
a_Minijobs,m_G02_SUP_DIST,0.29322529562826544,0.29322529562826544
q_alo_u25_einw,a_Minijobs,-0.2884571912486446,0.2884571912486446
