PC,variable,loading,abs_loading
PC1,q_HH1,-0.3336236168232428,0.3336236168232428
PC1,a_hh_kind,0.3296539131296267,0.3296539131296267
PC1,q_abhg_alt,-0.2886575517457389,0.2886575517457389
PC1,a_bev65um,-0.28719548050259586,0.28719548050259586
PC1,m_Q07_HA_DIST,0.27986649701363214,0.27986649701363214
PC1,m_G02_SUP_DIST,0.27780133801098184,0.27780133801098184
PC1,q_ärzte_bev,-0.2760738659065743,0.2760738659065743
PC1,q_alo_u25_einw,-0.2651670184377805,0.2651670184377805
PC2,q_kaufkraft,-0.3771006538231086,0.3771006538231086
PC2,q_einkst_bev,-0.3592362962995276,0.3592362962995276
PC2,m_Q01_APO_DIST,0.33220790760725255,0.33220790760725255
PC2,m_Q07_HA_DIST,0.312141726977449,0.312141726977449
PC2,m_G02_SUP_DIST,0.29961635732860165,0.29961635732860165
PC2,m_OEV20_DIST,0.2943067665801016,0.2943067665801016
PC2,a_hheink_niedrig,0.28067473096220724,0.28067473096220724
PC2,a_ALGII_SGBII,0.25782553425620186,0.25782553425620186
PC3,a_hh_kind,0.43692339097903676,0.43692339097903676
PC3,q_HH1,-0.3546302489891111,0.3546302489891111
PC3,a_Minijobs,-0.3038809443793215,0.3038809443793215
PC3,m_OEV20_DIST,-0.29853567620646393,0.29853567620646393
PC3,a_ALGII_SGBII,0.2981994021187993,0.2981994021187993
PC3,q_kaufkraft,-0.2740849925535594,0.2740849925535594
PC3,q_einkst_bev,-0.25100163720852015,0.25100163720852015
PC3,a_bev65um,-0.2413571172701031,0.2413571172701031
PC4,q_abhg_alt,0.461541413730531,0.461541413730531
PC4,a_bev65um,0.4531410543055394,0.4531410543055394
PC4,a_ALGII_SGBII,0.36671278983700095,0.36671278983700095
PC4,a_hheink_niedrig,-0.32865546579680655,0.32865546579680655
PC4,q_kaufkraft,0.3173071636999033,0.3173071636999033
PC4,q_HH1,-0.3041152799732258,0.3041152799732258
PC4,q_alo_u25_einw,-0.26999498543079936,0.26999498543079936
PC4,m_OEV20_DIST,-0.11154559587439711,0.11154559587439711
PC5,a_aloLang,-0.6154883786011986,0.6154883786011986
PC5,a_hheink_niedrig,0.43227366189420396,0.43227366189420396
PC5,q_ärzte_bev,-0.3107567617824228,0.3107567617824228
PC5,a_Minijobs,0.29718226355399896,0.29718226355399896
PC5,a_bb_100Mbits,0.2672390794835646,0.2672390794835646
PC5,m_OEV20_DIST,-0.252215428266725,0.252215428266725
PC5,q_kaufkraft,-0.2035787797697038,0.2035787797697038
PC5,q_alo_u25_einw,-0.16142590333436252,0.16142590333436252
PC6,a_bb_100Mbits,-0.7756987816720655,0.7756987816720655
PC6,a_aloLang,-0.45635887946165,0.45635887946165
PC6,a_ALGII_SGBII,-0.30645812102527864,0.30645812102527864
PC6,m_G02_SUP_DIST,-0.18438921219550491,0.18438921219550491
PC6,a_Minijobs,-0.15001025681107447,0.15001025681107447
PC6,m_OEV20_DIST,0.1180488214930681,0.1180488214930681
PC6,m_Q07_HA_DIST,-0.0981963636178882,0.0981963636178882
PC6,q_ärzte_bev,0.09812758764570566,0.09812758764570566
PC7,q_ärzte_bev,0.6920561642376016,0.6920561642376016
PC7,a_aloLang,-0.4129517271906795,0.4129517271906795
PC7,a_bb_100Mbits,0.3297181166945318,0.3297181166945318
PC7,m_Q01_APO_DIST,0.2834844942708416,0.2834844942708416
PC7,a_Minijobs,-0.23553062398994334,0.23553062398994334
PC7,q_alo_u25_einw,-0.18506298269800825,0.18506298269800825
PC7,m_OEV20_DIST,0.14012072804314069,0.14012072804314069
PC7,m_G02_SUP_DIST,0.12468067668697239,0.12468067668697239
PC8,q_alo_u25_einw,-0.7682468974885452,0.7682468974885452
PC8,a_aloLang,0.37793817306504385,0.37793817306504385
PC8,a_ALGII_SGBII,-0.31331565200884143,0.31331565200884143
PC8,a_hheink_niedrig,0.27238926587476536,0.27238926587476536
PC8,q_ärzte_bev,0.16908268022417675,0.16908268022417675
PC8,a_Minijobs,0.15634119141786998,0.15634119141786998
PC8,m_Q07_HA_DIST,-0.13073381829601396,0.13073381829601396
PC8,m_Q01_APO_DIST,-0.06608527068431118,0.06608527068431118
