Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension,in_old51,in_thesis_candidate,in_student_sensitivity,in_curated,proposed_status,handling_note
a_bev65um,Einwohner 65 Jahre und älter,834,1,99.88,2023,2023,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_hh_kind,Haushalte mit Kindern,834,1,99.88,2023,2023,Anteil der Haushalte mit Kindern an allen Haushalten in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_HH1,Einpersonenhaushalte,834,1,99.88,2023,2023,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_abhg_alt,Abhängigenquote Alte,834,1,99.88,2023,2023,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,FALSE,FALSE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_bev0003,Einwohner unter 3 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev0306,Einwohner von 3 bis unter 6 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev0618,Einwohner von 6 bis unter 18 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev1825,Einwohner von 18 bis unter 25 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev2530,Einwohner von 25 bis unter 30 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 25 bis unter 30 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev3050,Einwohner von 30 bis unter 50 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 30 bis unter 50 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev5065,Einwohner von 50 bis unter 65 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 50 bis unter 65 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev6575,Einwohner von 65 bis unter 75 Jahren,834,1,99.88,2023,2023,Anteil der Einwohner von 65 bis unter 75 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
a_bev75um,Einwohner 75 Jahre und älter,834,1,99.88,2023,2023,Anteil der Einwohner 75 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
i_saldo_nat,Natürlicher Saldo,834,1,99.88,2021,2022,Natürlicher Saldo je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,Demography and household structure,TRUE,FALSE,FALSE,FALSE,context_demographic_dynamics,"Demographic dynamics may be reported descriptively, but are not core vulnerability dimensions here."
i_wans,Gesamtwanderungssaldo,834,1,99.88,2023,2023,Gesamtwanderungssaldo je 1.000 Einwohner,Bevölkerung,Bevölkerung – Wanderungen,Demography and household structure,TRUE,FALSE,FALSE,FALSE,context_demographic_dynamics,"Demographic dynamics may be reported descriptively, but are not core vulnerability dimensions here."
q_abhg_jung,Abhängigenquote Junge,834,1,99.88,2023,2023,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
q_bev_fl,Einwohnerdichte,834,1,99.88,2023,2023,Einwohner je km²,Siedlungsstruktur,(no sub-dimension),Demography and household structure,TRUE,FALSE,FALSE,FALSE,context_or_control_only,"Useful as descriptive context or control, but not as part of the main vulnerability index."
q_bevsva_qkm,Einwohner-Arbeitsplatz-Dichte,834,1,99.88,2022,2023,Einwohner und Beschäftigte je km²,Siedlungsstruktur,(no sub-dimension),Demography and household structure,TRUE,FALSE,FALSE,FALSE,context_or_control_only,"Useful as descriptive context or control, but not as part of the main vulnerability index."
q_stud,Studierende,834,1,99.88,2023,2023,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
q_stud_1825,Studierende je 100 Einwohner 18 bis 25 Jahre,834,1,99.88,2022,2023,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
q_stud_fh,Studierende an FH,834,1,99.88,2023,2023,Studierende an Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education,TRUE,FALSE,TRUE,FALSE,student_sensitivity_only,Use only in a student-sensitivity PCA. These variables mainly capture university-town structure rather than core municipality-level social vulnerability.
a_bb_100Mbits,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,834,1,99.88,2023,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_G02_SUP_DIST,Entfernung zum Supermarkt/Discounter,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_OEV20_DIST,Entfernung zur ÖV Haltestelle,834,1,99.88,2022,2022,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_Q01_APO_DIST,Entfernung zur Apotheke,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
m_Q07_HA_DIST,Entfernung zum Hausarzt,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_ärzte_bev,Ärzte,834,1,99.88,2022,2022,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_bb_1000Mbits,Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,834,1,99.88,2022,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,FALSE,drop_duplicate_digital_measure,Measures the same digital access construct at multiple thresholds; keep only one representative.
a_bb_4G,4G-Mobilfunkverfügbarkeit,834,1,99.88,2023,2023,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit,"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
a_bb_50Mbits,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,834,1,99.88,2023,2023,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
m_P01_PRIM_DIST,Entfernung zur Grundschule,834,1,99.88,2023,2023,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension),"Health, services and accessibility",TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
q_allgemeinärzte_bev,Allgemeinärzte,834,1,99.88,2022,2022,Allgemeinärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,FALSE,drop_duplicate_health_measure,Specialist-specific supply measure; keep total physician availability instead.
q_hausarzt_bev,Hausärzte,834,1,99.88,2022,2022,Hausärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,FALSE,drop_duplicate_health_measure,Specialist-specific supply measure; keep total physician availability instead.
q_internist_bev,Internisten,834,1,99.88,2022,2022,Internisten je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,FALSE,drop_duplicate_health_measure,Specialist-specific supply measure; keep total physician availability instead.
q_kinderarzt_kinder,Kinderärzte,834,1,99.88,2022,2022,Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility",TRUE,FALSE,FALSE,FALSE,drop_duplicate_health_measure,Specialist-specific supply measure; keep total physician availability instead.
a_ALGII_SGBII,ALG II-Leistungen an SGBII,825,10,98.8,2021,2022,Anteil Arbeitslosengeld II an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_hheink_niedrig,Haushalte mit niedrigem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen von unter 1.500€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_einkst_bev,Einkommensteuer,834,1,99.88,2023,2023,Einkommensteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_kaufkraft,Kaufkraft,834,1,99.88,2023,2023,Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
a_BG1P,Einpersonen-Bedarfsgemeinschaften,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit 1 Person an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_definition_mismatch,"Officially this is Einpersonen-Bedarfsgemeinschaften, not single-parent households; the old label was misleading."
a_BG5um,Große Bedarfsgemeinschaften,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit 5 und mehr Personen an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,review_sgbii_specific_household_measure,"Potentially informative, but highly specific to SGB II household composition and hard to generalize."
a_BGKind,Bedarfsgemeinschaften mit Kindern,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit Kindern an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,review_sgbii_specific_household_measure,"Potentially informative, but highly specific to SGB II household composition and hard to generalize."
a_Unterkunft_SGBII,Leistungen für Unterkunft an SGBII,825,10,98.8,2021,2022,Anteil Leistungen für Unterkunft an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_overlap_with_algii,Conceptually overlaps with a_ALGII_SGBII and is difficult to interpret as an independent vulnerability signal.
a_hheink_hoch,Haushalte mit hohem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen von über 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_complement_or_context,Either compositional counterpart or broader fiscal context rather than a distinct vulnerability mechanism.
a_hheink_mittel,Haushalte mit mittlerem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen zwischen 1.500€ und 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_complement_or_context,Either compositional counterpart or broader fiscal context rather than a distinct vulnerability mechanism.
d_steuereinnahme,Steuereinnahmen,834,1,99.88,2023,2023,Steuereinnahmen der Gemeinden und Gemeindeverbände in Euro je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_complement_or_context,Either compositional counterpart or broader fiscal context rather than a distinct vulnerability mechanism.
q_gewst_bev,Gewerbesteuer,834,1,99.88,2023,2023,Gewerbesteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers",TRUE,FALSE,FALSE,FALSE,drop_complement_or_context,Either compositional counterpart or broader fiscal context rather than a distinct vulnerability mechanism.
a_aloLang,Langzeitarbeitslose,834,1,99.88,2021,2023,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,Labour market and employment,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_alo_u25_einw,Jüngere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen unter 25 Jahren an Einwohnern von 15 bis unter 25 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment,TRUE,TRUE,TRUE,TRUE,core_curated_pca,Keep as core candidate in the curated vulnerability PCA.
q_alo_ü55_einw,Ältere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen 55 Jahre und älter an Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment,TRUE,TRUE,TRUE,FALSE,core_thesis_candidate,"Keep in the wider thesis-candidate PCA set; broad enough for a wide PCA, but cleaner than the original 51-variable block."
r_ewf_jungalt,Verhältnis junge zu alte Erwerbsfähige,834,1,99.88,2023,2023,Verhältnis junge (15-<20J) zu alte (60-<65J) Erwerbsfähige in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment,TRUE,FALSE,FALSE,FALSE,drop_nested_age_block,Nested age-composition block; retaining many of these together overweights the same demographic structure.
