PC,eigenvalue,variance,cumulative
1,5.755516590498618,0.22136602271148526,0.22136602271148526
2,3.7882731815944064,0.1457028146767079,0.3670688373881932
3,2.7841651193408903,0.10708327382080345,0.47415211120899664
4,1.8647031755881767,0.07171935290723755,0.5458714641162342
5,1.361286050002569,0.05235715576932956,0.5982286198855638
6,1.179359534106579,0.04535998208102226,0.643588601966586
7,1.0360785839759703,0.039849176306768076,0.6834377782733541
8,0.9881586103555208,0.03800610039828925,0.7214438786716433
9,0.8860444576904392,0.034078632988093806,0.755522511659737
10,0.8136141046284596,0.03129285017801767,0.7868153618377547
11,0.7592133317027634,0.029200512757798586,0.8160158745955532
12,0.7105995600434502,0.02733075230936346,0.8433466269049167
13,0.5532396792008789,0.0212784492000338,0.8646250761049505
14,0.4946796267924068,0.01902613949201564,0.8836512155969661
15,0.4894637937999987,0.018825530530769175,0.9024767461277353
16,0.4477727134374566,0.01722202743990217,0.9196987735676375
17,0.4031968890361346,0.015507572655235943,0.9352063462228735
18,0.33068816580446264,0.012718775607863945,0.9479251218307374
19,0.28728851629513186,0.01104955831904353,0.9589746801497809
20,0.2554094901146714,0.009823441927487358,0.9687981220772683
21,0.2182002979737819,0.008392319152837764,0.9771904412301061
22,0.20199761617827855,0.007769139083779942,0.9849595803138861
23,0.15670271044666192,0.00602702732487161,0.9909866076387577
24,0.14818729474336045,0.0056995113362830925,0.9966861189750408
25,0.07974296693387746,0.003067037189764517,0.9997531561648053
26,0.006417939715058006,2.4684383519453865e-4,0.9999999999999999
