PC,eigenvalue,variance,cumulative
1,5.56930388471741,0.24214364716162654,0.24214364716162654
2,3.7652054639260033,0.1637045853880871,0.40584823254971364
3,1.9109421877419728,0.08308444294530316,0.4889326754950168
4,1.3609281409723,0.05917078873792608,0.5481034642329429
5,1.180092535401044,0.05130837110439322,0.5994118353373361
6,1.0374629085610951,0.04510708298091718,0.6445189183182533
7,0.9883352921641185,0.0429710996593095,0.6874900179775627
8,0.8867638047180838,0.03855494803122104,0.7260449660087838
9,0.8293485303227037,0.036058631753161034,0.7621035977619448
10,0.759830673055855,0.033036116219819785,0.7951397139817646
11,0.7109552197875333,0.030911096512501447,0.8260508104942661
12,0.5534153638610821,0.024061537559177483,0.8501123480534436
13,0.4979486354965058,0.021649940673761123,0.8717622887272047
14,0.4896589441001745,0.02128951930870324,0.893051808035908
15,0.45266244611686807,0.019680975918124698,0.9127327839540327
16,0.4076502891877517,0.01772392561685877,0.9304567095708914
17,0.33065859774333506,0.014376460771449351,0.9448331703423408
18,0.28784099666227037,0.012514825941837842,0.9573479962841787
19,0.2553787297989538,0.011103423034737122,0.9684514193189158
20,0.2182292162207203,0.009488226792205231,0.9779396461111209
21,0.20217426332704572,0.008790185362045465,0.9867298314731664
22,0.15709219464821456,0.006830095419487589,0.9935599268926539
23,0.14812168146895968,0.006440073107346073,1
