var1,var2,correlation,abs_correlation
q_HH1,a_hh_kind,-0.7943827774232086,0.7943827774232086
m_Q07_HA_DIST,m_P01_PRIM_DIST,0.7415564221694597,0.7415564221694597
m_G02_SUP_DIST,m_Q01_APO_DIST,0.7338539890527931,0.7338539890527931
m_Q01_APO_DIST,m_P01_PRIM_DIST,0.731144245464493,0.731144245464493
m_G02_SUP_DIST,m_Q07_HA_DIST,0.7233949698097677,0.7233949698097677
m_Q01_APO_DIST,m_Q07_HA_DIST,0.7223837587030575,0.7223837587030575
m_G02_SUP_DIST,m_P01_PRIM_DIST,0.6424537560453122,0.6424537560453122
m_OEV20_DIST,m_P01_PRIM_DIST,0.6187449867846923,0.6187449867846923
q_kaufkraft,a_hheink_niedrig,-0.616220665955677,0.616220665955677
m_Q01_APO_DIST,m_OEV20_DIST,0.5535022499208202,0.5535022499208202
m_Q07_HA_DIST,m_OEV20_DIST,0.5371061812282262,0.5371061812282262
a_bev65um,a_hh_kind,-0.4885208072184533,0.4885208072184533
q_alo_u25_einw,q_alo_ü55_einw,0.48665247782614046,0.48665247782614046
m_Q07_HA_DIST,q_ärzte_bev,-0.48628500360735455,0.48628500360735455
q_alo_ü55_einw,q_HH1,0.4694712183697806,0.4694712183697806
q_alo_u25_einw,q_HH1,0.4650540936476346,0.4650540936476346
q_HH1,q_ärzte_bev,0.4344990847436673,0.4344990847436673
m_G02_SUP_DIST,m_OEV20_DIST,0.4325526076176171,0.4325526076176171
a_aloLang,q_alo_ü55_einw,0.4135765224718069,0.4135765224718069
q_alo_ü55_einw,a_hh_kind,-0.40384535783188247,0.40384535783188247
q_alo_u25_einw,a_hh_kind,-0.3870336934985562,0.3870336934985562
a_hh_kind,q_ärzte_bev,-0.38441429534824195,0.38441429534824195
q_HH1,m_G02_SUP_DIST,-0.3787259706701174,0.3787259706701174
q_HH1,m_Q01_APO_DIST,-0.3710002181672051,0.3710002181672051
m_G02_SUP_DIST,q_ärzte_bev,-0.3633772566336306,0.3633772566336306
q_alo_ü55_einw,q_kaufkraft,-0.3411957587906829,0.3411957587906829
a_Minijobs,q_ärzte_bev,-0.3406083205623269,0.3406083205623269
q_alo_ü55_einw,a_bev65um,0.3362400642623831,0.3362400642623831
a_Minijobs,m_Q07_HA_DIST,0.3335382048591492,0.3335382048591492
a_hh_kind,m_G02_SUP_DIST,0.32698779521849525,0.32698779521849525
m_P01_PRIM_DIST,q_ärzte_bev,-0.3187289195372823,0.3187289195372823
a_bev65um,q_HH1,0.31776856664058356,0.31776856664058356
a_hh_kind,m_Q01_APO_DIST,0.3147237976354613,0.3147237976354613
q_alo_ü55_einw,a_Minijobs,-0.31441512895077917,0.31441512895077917
q_HH1,m_Q07_HA_DIST,-0.30682499172351424,0.30682499172351424
a_hheink_niedrig,a_bev65um,0.3028666978814248,0.3028666978814248
a_Minijobs,a_bev65um,-0.29756345798423645,0.29756345798423645
a_Minijobs,m_G02_SUP_DIST,0.29322529562826544,0.29322529562826544
m_P01_PRIM_DIST,a_bb_100Mbits,-0.2926309836552671,0.2926309836552671
q_alo_u25_einw,a_Minijobs,-0.2884571912486446,0.2884571912486446
