PC,variable,loading,abs_loading
PC1,m_Q07_HA_DIST,0.35239326008230926,0.35239326008230926
PC1,m_Q01_APO_DIST,0.3456249347188176,0.3456249347188176
PC1,m_G02_SUP_DIST,0.3417853325186254,0.3417853325186254
PC1,m_P01_PRIM_DIST,0.3366196537312106,0.3366196537312106
PC1,q_HH1,-0.3094061460965391,0.3094061460965391
PC1,a_hh_kind,0.28090437220420766,0.28090437220420766
PC1,q_ärzte_bev,-0.2653339548674711,0.2653339548674711
PC1,q_alo_u25_einw,-0.24245306154127585,0.24245306154127585
PC2,q_kaufkraft,-0.4149924577873097,0.4149924577873097
PC2,a_hheink_niedrig,0.34910621093203514,0.34910621093203514
PC2,q_alo_ü55_einw,0.336518050128882,0.336518050128882
PC2,a_bev65um,0.3137526628706193,0.3137526628706193
PC2,m_OEV20_DIST,0.24494555483359307,0.24494555483359307
PC2,m_P01_PRIM_DIST,0.2320308461012625,0.2320308461012625
PC2,a_ALGII_SGBII,0.2203018223999548,0.2203018223999548
PC2,a_aloLang,0.21775779900203487,0.21775779900203487
PC3,a_ALGII_SGBII,-0.4941572665077588,0.4941572665077588
PC3,q_HH1,0.41668010460400523,0.41668010460400523
PC3,a_hh_kind,-0.39625029647235005,0.39625029647235005
PC3,a_Minijobs,0.27795229327416354,0.27795229327416354
PC3,m_OEV20_DIST,0.24680920111273233,0.24680920111273233
PC3,a_aloLang,-0.23108773021122075,0.23108773021122075
PC3,a_ewfBG_allein,0.22964149399141828,0.22964149399141828
PC3,m_Q07_HA_DIST,0.1930554945786371,0.1930554945786371
PC4,a_ewfBG_allein,0.5913732763905306,0.5913732763905306
PC4,a_aloLang,-0.3637618408210536,0.3637618408210536
PC4,a_hheink_niedrig,0.3358643894264685,0.3358643894264685
PC4,q_kaufkraft,-0.28535556734166995,0.28535556734166995
PC4,a_bb_100Mbits,-0.2845690342832109,0.2845690342832109
PC4,q_alo_ü55_einw,-0.2788080705079764,0.2788080705079764
PC4,a_bb_4G,-0.25208580858492435,0.25208580858492435
PC4,a_Minijobs,-0.17495744637277325,0.17495744637277325
PC5,a_bb_4G,0.7418901684833427,0.7418901684833427
PC5,a_bev65um,-0.2884538552516582,0.2884538552516582
PC5,a_ALGII_SGBII,-0.25173895764667215,0.25173895764667215
PC5,a_bb_100Mbits,-0.23186297254820257,0.23186297254820257
PC5,q_kaufkraft,-0.21301118958704177,0.21301118958704177
PC5,a_hh_kind,0.2107994596542808,0.2107994596542808
PC5,q_alo_u25_einw,0.2105634725100858,0.2105634725100858
PC5,a_aloLang,0.19137319962369284,0.19137319962369284
PC6,a_hheink_niedrig,0.529367757598362,0.529367757598362
PC6,a_bb_100Mbits,0.38182059624125764,0.38182059624125764
PC6,a_Minijobs,0.34272907752373594,0.34272907752373594
PC6,a_ewfBG_allein,-0.32841763889767744,0.32841763889767744
PC6,a_aloLang,-0.2962877108178862,0.2962877108178862
PC6,q_kaufkraft,-0.2919716374617858,0.2919716374617858
PC6,q_ärzte_bev,-0.24565483886284997,0.24565483886284997
PC6,m_OEV20_DIST,-0.19357883777027526,0.19357883777027526
PC7,a_bb_4G,-0.47170533819811555,0.47170533819811555
PC7,a_aloLang,0.4025544467582618,0.4025544467582618
PC7,a_bev65um,-0.3731652426475489,0.3731652426475489
PC7,a_bb_100Mbits,0.3322198110497698,0.3322198110497698
PC7,a_ewfBG_allein,0.3083785567316686,0.3083785567316686
PC7,a_ALGII_SGBII,-0.2348155424793145,0.2348155424793145
PC7,q_alo_ü55_einw,0.19722120894657816,0.19722120894657816
PC7,q_ärzte_bev,-0.1829876150723231,0.1829876150723231
PC8,a_bb_100Mbits,-0.5680550144755622,0.5680550144755622
PC8,a_ewfBG_allein,-0.4511765525534976,0.4511765525534976
PC8,a_ALGII_SGBII,-0.37566107804214455,0.37566107804214455
PC8,a_bev65um,-0.35050159940854614,0.35050159940854614
PC8,a_bb_4G,-0.34091484210345424,0.34091484210345424
PC8,m_G02_SUP_DIST,-0.18857228138885856,0.18857228138885856
PC8,m_OEV20_DIST,0.13302154137225522,0.13302154137225522
PC8,m_Q01_APO_DIST,-0.09280136287913528,0.09280136287913528
