AGS,mun_name,municipality_area_m2,rp,class_code,class_name,class_slug,thesis_group,total_area_m2,flooded_area_m2,flood_share_of_class,flooded_landcover_total_area_m2,original_flood_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,share_of_lc_flooded_area,share_of_original_flood_area
13076075,Kreien,25030179.93319736,rp100,1,Artificial Land,artificial_land,artificial,303671.1275477667,43.806816648755266,1.4425743073603387e-4,767189.033632471,767188.9648559431,755573.059353717,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,0.03018648133454308,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,5.710042079373795e-5,5.710042591264458e-5
13076079,Kuhstorf,15095458.439159146,rp100,1,Artificial Land,artificial_land,artificial,426077.7228033956,120785.4121055117,0.2834821105191776,2545242.6040181154,2545242.3830032498,1380350.908203125,2170554.0517578125,2427338.4919971507,2545242.3830032498,2697089.992769203,3113185.6121274284,0.09144146988092491,0.14378854809252933,0.16079925639756584,0.16860981024601637,0.17866896879214209,0.20623326046538012,0.04745536316060032,0.04745536728136335
14521150,Drebach,32969170.068404295,rp100,1,Artificial Land,artificial_land,artificial,2003711.2581632098,171347.02878920696,0.08551483058805577,823119.8311707241,823119.8601926013,713862.4316302198,802914.5623635487,823119.8601926013,823119.8601926013,823119.8601926013,862977.188283626,0.02165242346559228,0.02435349633301854,0.0249663506386359,0.0249663506386359,0.0249663506386359,0.02617527788819447,0.20816778104531866,0.2081677737056588
15083245,"Gröningen, Stadt",59740558.31405812,rp100,1,Artificial Land,artificial_land,artificial,2425055.6470173416,117363.61633969627,0.04839625700302827,8416559.886434017,8416559.904610204,7215822.24991054,7804376.073283299,8368362.93684248,8416559.904610204,8721118.202846523,9002816.694272613,0.12078598616331504,0.130637816142518,0.14007841863227516,0.14088518993016547,0.14598320553014105,0.1506985697546465,0.013944368949226554,0.013944368919112651
14628330,Reinhardtsdorf-Schöna,31705942.714922413,rp100,1,Artificial Land,artificial_land,artificial,767625.4430961137,14166.420823339047,0.018454860962138903,486713.7703543077,486713.767481299,459822.260527881,486713.767481299,486713.767481299,486713.767481299,486713.767481299,496688.538965674,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,0.029106266734607637,0.029106266906418182
13076067,Karenz,6849905.868239488,rp100,1,Artificial Land,artificial_land,artificial,145676.05608708962,0,0,642898.4789617297,642898.4866357532,0,103410.14701981976,170111.93714269827,642898.4866357532,913858.7167009292,973324.768096918,0,0.01509657928283289,0.02483420070507029,0.0938550834131369,0.1334118649627228,0.14209315964615946,0,0
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,rp100,1,Artificial Land,artificial_land,artificial,2058474.54086619,8670.233356262055,0.0042119701672937325,419955.73846966034,419955.7531555809,131570.06012720842,330506.5378451049,398421.02461911464,419955.7531555809,419955.7531555809,419955.7531555809,0.00257356679703016,0.00646484961074862,0.00779328609569017,0.00821451462056067,0.00821451462056067,0.00821451462056067,0.020645588480007006,0.020645587758027443
16076094,Berga-Wünschendorf,62960697.0203359,rp100,1,Artificial Land,artificial_land,artificial,3565001.4678130634,656730.9782204764,0.18421618732834508,3733274.830438542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17591284007969252,NA
13076069,Karstädt,19720158.522239417,rp100,1,Artificial Land,artificial_land,artificial,371470.99530613597,0,0,2784.363657606804,2784.3639919950692,0,0,0,2784.3639919950692,65701.67284174523,111819.9153239823,0,0,0,1.4119379359222705e-4,0.00333170104934248,0.00567033551976153,0,0
15084130,Elsteraue,80447255.68973264,rp100,1,Artificial Land,artificial_land,artificial,7806030.688041736,158697.5963794909,0.020330127144209658,8524450.116094047,8524450.077040466,6854240.007113347,7604675.131896122,8264392.919005497,8524450.077040466,8734357.860243589,9164169.384657651,0.08520166347934406,0.09452995091871973,0.10273057605444544,0.10596321781214506,0.10857247752403244,0.11391525175205276,0.018616754654927473,0.018616754740217543
