AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
01002000,"Kiel, Landeshauptstadt",41170207.201568946,rp100,artificial,12603920.61691315,6338.90829575644,13115.504167347799,13115.503113645504,5.029314677887041e-4,0.4833141154830867,0.4833141543126451
01002000,"Kiel, Landeshauptstadt",41170207.201568946,rp100,open_or_seasonal,16690342.935532803,261.0314502467146,13115.504167347799,13115.503113645504,1.5639669673353043e-5,0.019902509801840128,0.019902511400811975
01002000,"Kiel, Landeshauptstadt",41170207.201568946,rp100,perennial_vegetation,10408745.801562747,3358.227240705827,13115.504167347799,13115.503113645504,3.2263514785822034e-4,0.25605018288709247,0.25605020345821833
01002000,"Kiel, Landeshauptstadt",41170207.201568946,rp100,water,1467194.7217282664,3157.3371806388186,13115.504167347799,13115.503113645504,0.002151955111261351,0.24073319182798075,0.24073321116853633
01051003,Averlak,9022409.02673614,rp100,artificial,348045.42607470875,344930.73880209454,8841153.04993722,8841152.509368146,0.9910509173824177,0.03901422550360033,0.03901422788902279
01051003,Averlak,9022409.02673614,rp100,open_or_seasonal,3649805.6579316547,3574701.0831590346,8841153.04993722,8841152.509368146,0.9794223085250019,0.4043252122170216,0.4043252369384259
01051003,Averlak,9022409.02673614,rp100,perennial_vegetation,4532460.030045542,4506461.401534782,8841153.04993722,8841152.509368146,0.9942639034126245,0.5097142166956132,0.5097142478607517
01051003,Averlak,9022409.02673614,rp100,water,492097.3682850203,415059.8264413082,8841153.04993722,8841152.509368146,0.8434506119953636,0.04694634558376472,0.04694634845417585
01051010,Brickeln,6020824.33266283,rp100,artificial,141871.45412751863,0,69584.70076652478,69584.69417107469,0,0,0
01051010,Brickeln,6020824.33266283,rp100,open_or_seasonal,2768265.845414453,0.23364082129339714,69584.70076652478,69584.69417107469,8.439970520909902e-8,3.3576464182453608e-6,3.357646736493355e-6
01051010,Brickeln,6020824.33266283,rp100,perennial_vegetation,3082347.6417241707,69584.4671257035,69584.70076652478,69584.69417107469,0.022575152193663683,0.9999966423535819,0.9999967371363214
01051010,Brickeln,6020824.33266283,rp100,water,28338.902008020377,0,69584.70076652478,69584.69417107469,0,0,0
01051011,"Brunsbüttel, Stadt",49858782.29993694,rp100,artificial,8027947.668021666,5246680.593975744,43225803.026613876,43225802.40778954,0.6535519177429676,0.12137844126910478,0.12137844300676907
01051011,"Brunsbüttel, Stadt",49858782.29993694,rp100,open_or_seasonal,20775639.219930902,19657409.1761269,43225803.026613876,43225802.40778954,0.9461759018836234,0.4547609945852006,0.4547610010955984
01051011,"Brunsbüttel, Stadt",49858782.29993694,rp100,perennial_vegetation,18555817.663556498,16208078.208344553,43225803.026613876,43225802.40778954,0.8734769063923877,0.37496303303758943,0.3749630384055927
