AGS,mun_name,municipality_area_m2,class_code,class_name,class_slug,thesis_group,total_area_m2,total_share_of_municipality
13076075,Kreien,25030179.93319736,1,Artificial Land,artificial_land,artificial,303671.1275477667,0.012132199143523125
13076079,Kuhstorf,15095458.439159146,1,Artificial Land,artificial_land,artificial,426077.7228033956,0.028225557012439378
14521150,Drebach,32969170.068404295,1,Artificial Land,artificial_land,artificial,2003711.2581632098,0.06077530171387142
15083245,"Gröningen, Stadt",59740558.31405812,1,Artificial Land,artificial_land,artificial,2425055.6470173416,0.040593119908065516
14628330,Reinhardtsdorf-Schöna,31705942.714922413,1,Artificial Land,artificial_land,artificial,767625.4430961137,0.024210774932575355
13076067,Karenz,6849905.868239488,1,Artificial Land,artificial_land,artificial,145676.05608708962,0.021266869777369683
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,1,Artificial Land,artificial_land,artificial,2058474.54086619,0.04026464475111698
16076094,Berga-Wünschendorf,62960697.0203359,1,Artificial Land,artificial_land,artificial,3565001.4678130634,0.056622649311865
13076069,Karstädt,19720158.522239417,1,Artificial Land,artificial_land,artificial,371470.99530613597,0.018837120142173775
15084130,Elsteraue,80447255.68973264,1,Artificial Land,artificial_land,artificial,7806030.688041736,0.09703290213090524
14628320,Rathmannsdorf,4185752.195803851,1,Artificial Land,artificial_land,artificial,403352.5146368326,0.09636320923182863
14522020,"Augustusburg, Stadt",23324653.61563441,1,Artificial Land,artificial_land,artificial,1310118.7357554955,0.056168839946987625
15002000,"Halle (Saale), Stadt",135824964.26597008,1,Artificial Land,artificial_land,artificial,51591001.0020125,0.3798344529727827
15083270,"Haldensleben, Stadt",156431520.31214672,1,Artificial Land,artificial_land,artificial,11691290.731608778,0.0747374359609862
12061260,"Königs Wusterhausen, Stadt",95823966.69664505,1,Artificial Land,artificial_land,artificial,15631087.868758433,0.16312294729190857
15084150,Gleina,29875109.423009828,1,Artificial Land,artificial_land,artificial,801617.9186722847,0.026832300672842993
12072312,Nuthe-Urstromtal,341192433.78414,1,Artificial Land,artificial_land,artificial,12085929.731841305,0.03542261942270277
15084135,"Freyburg (Unstrut), Stadt",46837141.22753964,1,Artificial Land,artificial_land,artificial,2604947.9887794503,0.05561714315833977
12062124,"Elsterwerda, Stadt",40376165.00680845,1,Artificial Land,artificial_land,artificial,5620897.91452926,0.1392132688575409
12062128,"Falkenberg/Elster, Stadt",81963253.69837146,1,Artificial Land,artificial_land,artificial,4462457.468675143,0.05444461105823339
12067397,Ragow-Merz,38032358.61743702,1,Artificial Land,artificial_land,artificial,371813.4652060297,0.009776239989374763
12066064,Frauendorf,20809430.093916778,1,Artificial Land,artificial_land,artificial,478987.4910855184,0.0230178091818834
12061265,Krausnick-Groß Wasserburg,54671599.66240399,1,Artificial Land,artificial_land,artificial,1248857.2649560443,0.02284288867835791
15084170,Goseck,14465217.502377346,1,Artificial Land,artificial_land,artificial,531923.2649679903,0.036772572889454944
01058119,Oldenbüttel,4571073.039308612,1,Artificial Land,artificial_land,artificial,157070.76708137788,0.03436190271532727
14522420,Niederwiesa,16579992.672688615,1,Artificial Land,artificial_land,artificial,1540072.9292955478,0.0928874312370736
16075134,Remptendorf,97380292.82756546,1,Artificial Land,artificial_land,artificial,1968009.3822681254,0.020209524177062656
16075135,"Saalburg-Ebersdorf, Stadt",71989502.31522453,1,Artificial Land,artificial_land,artificial,3124523.695600403,0.04340249057312375
16075136,Rosenthal am Rennsteig,51856705.8725284,1,Artificial Land,artificial_land,artificial,2091535.903577921,0.04033298815237574
01058124,Osterrönfeld,17919744.749897826,1,Artificial Land,artificial_land,artificial,2335050.3782430515,0.13030600663306688
16075125,Wilhelmsdorf,9420839.207122868,1,Artificial Land,artificial_land,artificial,165735.38730411348,0.017592422889332934
16075127,"Ziegenrück, Stadt",8249560.409786124,1,Artificial Land,artificial_land,artificial,281886.00545908575,0.03416982135492888
16076003,"Bad Köstritz, Stadt",20153208.322012063,1,Artificial Land,artificial_land,artificial,1802398.3361573992,0.08943480895737849
14522440,"Oederan, Stadt",77579600.43018354,1,Artificial Land,artificial_land,artificial,2816362.856554626,0.03630287911948147
12073572,"Templin, Stadt",378905948.0809287,1,Artificial Land,artificial_land,artificial,11946703.244936477,0.03152946873872996
01058140,Schacht-Audorf,6283014.522038246,1,Artificial Land,artificial_land,artificial,1738990.1312911743,0.27677639852518376
01058148,Schülp b. Rendsburg,8028885.458245777,1,Artificial Land,artificial_land,artificial,456124.84607274196,0.05681048116140397
03360002,"Bad Bevensen, Stadt",48165364.50427336,1,Artificial Land,artificial_land,artificial,3785478.8516011564,0.07859338116843896
03360004,Bienenbüttel,99544191.18334588,1,Artificial Land,artificial_land,artificial,2885428.1897994485,0.028986404485269367
03360008,Emmendorf,11006393.409583993,1,Artificial Land,artificial_land,artificial,483965.91979192424,0.043971344815868854
12062500,"Uebigau-Wahrenbrück, Stadt",135709259.22440073,1,Artificial Land,artificial_land,artificial,4481944.6863577,0.033026078780274117
01058132,Rade b. Rendsburg,6542077.157998715,1,Artificial Land,artificial_land,artificial,216801.1826437841,0.0331395025475526
01058135,"Rendsburg, Stadt",9258032.509931145,1,Artificial Land,artificial_land,artificial,3597737.442682294,0.38860712995152913
03359001,Agathenburg,11108542.480012393,1,Artificial Land,artificial_land,artificial,857663.1823429263,0.07720753500165482
03359004,Balje,58492807.81124808,1,Artificial Land,artificial_land,artificial,903529.9424890188,0.015446855370743057
03359007,Bliedersdorf,12411086.183053093,1,Artificial Land,artificial_land,artificial,667667.6004875095,0.053796065117909374
03359009,Burweg,16267940.84281799,1,Artificial Land,artificial_land,artificial,619293.1773657119,0.038068319976656356
03360025,"Uelzen, Hansestadt",136933147.83210912,1,Artificial Land,artificial_land,artificial,14063221.52318127,0.102701367388588
15091241,"Oranienbaum-Wörlitz, Stadt",115835834.00469567,1,Artificial Land,artificial_land,artificial,5489320.495915246,0.04738879417653025
02000000,"Hamburg, Freie und Hansestadt",742617853.28082335,1,Artificial Land,artificial_land,artificial,253998036.76941818,0.342030609212095
15089365,Wolmirsleben,16870779.18213933,1,Artificial Land,artificial_land,artificial,911760.2417287836,0.054043754107933634
01058158,Tackesdorf,7266262.169202912,1,Artificial Land,artificial_land,artificial,33366.884508032614,0.00459202871174312
03360012,Jelmstorf,13962852.30302496,1,Artificial Land,artificial_land,artificial,349098.5154432137,0.025001948589514465
12065144,"Hohen Neuendorf, Stadt",48952827.21955197,1,Artificial Land,artificial_land,artificial,9204687.28103361,0.1880317808765337
13071110,"Neustrelitz, Residenzstadt",131200564.88093625,1,Artificial Land,artificial_land,artificial,8145967.080222536,0.0620878964020845
15084565,Wetterzeube,41921179.11773494,1,Artificial Land,artificial_land,artificial,899531.4531180765,0.02145768492321643
13071119,Priepert,22177387.184844747,1,Artificial Land,artificial_land,artificial,264405.1486733065,0.011922285816157448
03359020,Grünendeich,2590811.678527903,1,Artificial Land,artificial_land,artificial,804631.1006705834,0.3105710489647685
03359021,Guderhandviertel,9230903.761117129,1,Artificial Land,artificial_land,artificial,727248.5234664633,0.07878410849973495
03359022,Hammah,29393174.06893374,1,Artificial Land,artificial_land,artificial,1343925.5639309045,0.045722369444657136
03359023,"Harsefeld, Flecken",52050767.1431126,1,Artificial Land,artificial_land,artificial,4603649.603052275,0.08844537469341475
03359025,Himmelpforten,18230152.943041302,1,Artificial Land,artificial_land,artificial,1752783.526618389,0.0961474943240918
03359026,Hollern-Twielenfleth,17721634.14104016,1,Artificial Land,artificial_land,artificial,1584992.8214956776,0.08943829947516609
03359027,"Horneburg, Flecken",16915077.024788674,1,Artificial Land,artificial_land,artificial,1922468.2976671995,0.11365412612959813
03359028,Jork,53187289.75906349,1,Artificial Land,artificial_land,artificial,5167048.698823381,0.09714818563288195
03359029,Kranenburg,14252921.917821907,1,Artificial Land,artificial_land,artificial,381962.70030611806,0.0267989049900365
12069590,Schwielowsee,58251152.43320541,1,Artificial Land,artificial_land,artificial,5263179.26680345,0.09035322130044648
15084550,"Weißenfels, Stadt",113702064.57760824,1,Artificial Land,artificial_land,artificial,16596378.100896113,0.1459637356854512
12065136,"Hennigsdorf, Stadt",30693942.67581424,1,Artificial Land,artificial_land,artificial,7098001.305330664,0.2312508816576256
14729250,Machern,39038792.36467315,1,Artificial Land,artificial_land,artificial,2994149.859591835,0.07669678487035606
15088020,"Bad Dürrenberg, Solestadt",36444264.40457499,1,Artificial Land,artificial_land,artificial,4729605.466827267,0.1297764008712861
03359010,"Buxtehude, Hansestadt",76319668.99626867,1,Artificial Land,artificial_land,artificial,10071153.371805772,0.13196012907626942
03359012,Dollern,11996122.546763085,1,Artificial Land,artificial_land,artificial,910492.8007520494,0.07589892460691207
03359013,Drochtersen,106998212.64449501,1,Artificial Land,artificial_land,artificial,5072280.533526473,0.04740528283756746
03359015,Engelschoff,19644677.689214565,1,Artificial Land,artificial_land,artificial,324456.7703300105,0.016516268450061954
03359016,Estorf,29475453.895685203,1,Artificial Land,artificial_land,artificial,647114.8310080601,0.02195436356292341
