AGS,mun_name,municipality_area_m2,thesis_group,total_area_m2,total_share_of_municipality
01002000,"Kiel, Landeshauptstadt",41170207.201568946,artificial,12603920.61691315,0.30614178245944873
01002000,"Kiel, Landeshauptstadt",41170207.201568946,open_or_seasonal,16690342.935532803,0.40539856537075564
01002000,"Kiel, Landeshauptstadt",41170207.201568946,perennial_vegetation,10408745.801562747,0.25282228361401304
01002000,"Kiel, Landeshauptstadt",41170207.201568946,water,1467194.7217282664,0.03563729263117125
01051003,Averlak,9022409.02673614,artificial,348045.42607470875,0.03857566477460115
01051003,Averlak,9022409.02673614,open_or_seasonal,3649805.6579316547,0.4045267341700173
01051003,Averlak,9022409.02673614,perennial_vegetation,4532460.030045542,0.5023558582430131
01051003,Averlak,9022409.02673614,water,492097.3682850203,0.054541682473803414
01051010,Brickeln,6020824.33266283,artificial,141871.45412751863,0.023563460132505334
01051010,Brickeln,6020824.33266283,open_or_seasonal,2768265.845414453,0.45978186581473174
01051010,Brickeln,6020824.33266283,perennial_vegetation,3082347.6417241707,0.5119477784798515
01051010,Brickeln,6020824.33266283,water,28338.902008020377,0.004706814290243032
01051011,"Brunsbüttel, Stadt",49858782.29993694,artificial,8027947.668021666,0.16101371308524354
01051011,"Brunsbüttel, Stadt",49858782.29993694,open_or_seasonal,20775639.219930902,0.4166896635170566
01051011,"Brunsbüttel, Stadt",49858782.29993694,perennial_vegetation,18555817.663556498,0.3721674859993515
01051011,"Brunsbüttel, Stadt",49858782.29993694,water,2499374.012004508,0.05012906245822352
01051012,Buchholz,14568132.652381137,artificial,568107.9027745053,0.03899661791462676
01051012,Buchholz,14568132.652381137,open_or_seasonal,5061278.092402199,0.347421197566796
01051012,Buchholz,14568132.652381137,perennial_vegetation,8611072.950045578,0.5910896856528907
01051012,Buchholz,14568132.652381137,water,327672.5477451738,0.022492419280079542
01051016,Burg (Dithmarschen),11383828.076215843,artificial,1402777.9212563941,0.1232255012869712
01051016,Burg (Dithmarschen),11383828.076215843,open_or_seasonal,2321559.8739812477,0.2039349029551551
01051016,Burg (Dithmarschen),11383828.076215843,perennial_vegetation,6862588.213181165,0.6028366000641845
01051016,Burg (Dithmarschen),11383828.076215843,water,796901.1013114728,0.07000291079381575
01051021,Diekhusen-Fahrstedt,7534255.303305844,artificial,437280.56898549286,0.05803899010345787
01051021,Diekhusen-Fahrstedt,7534255.303305844,open_or_seasonal,5030152.56389045,0.667637657789927
01051021,Diekhusen-Fahrstedt,7534255.303305844,perennial_vegetation,2066821.5175355582,0.27432326544983
01051021,Diekhusen-Fahrstedt,7534255.303305844,water,0,0
01051022,Dingen,6804427.198824078,artificial,348299.58297741576,0.05118720103840745
