AGS,municipality_name,protection_return_period,annual_loss_probability,n_nonzero_years
03154012,Jerxheim,58.8235294117647,0.017,85
03154027,Söllingen,56.81818181818182,0.0176,88
03354003,Damnatz,7.256894049346879,0.1378,689
03354004,Dannenberg (Elbe),5.714285714285714,0.175,875
03354005,Gartow,20.242914979757085,0.0494,247
03354007,Gorleben,11.061946902654867,0.0904,452
03354008,Gusborn,5.128205128205129,0.195,975
03354009,Hitzacker (Elbe),10.37344398340249,0.0964,482
03354010,Höhbeck,8.80281690140845,0.1136,568
03354011,Jameln,5.330490405117271,0.1876,938
03354014,Langendorf,12.72264631043257,0.0786,393
03354016,Luckau (Wendland),32.467532467532465,0.0308,154
03354018,Lüchow (Wendland),3.82262996941896,0.2616,1308
03354021,Schnackenburg,5.05050505050505,0.198,990
03354023,Trebel,208.33333333333337,0.0048,24
03354025,Woltersdorf,10.75268817204301,0.093,465
03354026,Wustrow (Wendland),4.62962962962963,0.216,1080
03355049,Amt Neuhaus,2.9585798816568047,0.338,1690
12051000,Brandenburg an der Havel,1666.6666666666667,6e-4,3
12062024,Bad Liebenwerda,80.64516129032258,0.0124,62
12062124,Elsterwerda,22.123893805309734,0.0452,226
12062128,Falkenberg/Elster,833.3333333333334,0.0012,6
12062196,Gröden,1666.6666666666667,6e-4,3
12062224,Herzberg (Elster),147.05882352941177,0.0068,34
12062232,Hirschfeld,2500,4e-4,2
12062240,Hohenleipisch,1250,8e-4,4
12062372,Plessa,34.96503496503497,0.0286,143
12062410,Röderland,31.446540880503143,0.0318,159
12062461,Schönewalde,2500,4e-4,2
12062464,Schraden,151.5151515151515,0.0066,33
12062500,Uebigau-Wahrenbrück,46.2962962962963,0.0216,108
12063094,Gollenberg,39.0625,0.0256,128
12063112,Großderschau,80.64516129032258,0.0124,62
12063134,Havelaue,178.57142857142858,0.0056,28
12063161,Kleßen-Görne,172.41379310344828,0.0058,29
12063244,Premnitz,5000,2e-4,1
12063252,Rathenow,333.3333333333333,0.003,15
12063260,Rhinow,52.63157894736842,0.019,95
12063274,Seeblick,208.33333333333337,0.0048,24
12066064,Frauendorf,125,0.008,40
12066176,Lauchhammer,40.32258064516129,0.0248,124
12066272,Ruhland,46.2962962962963,0.0216,108
12066292,Schwarzbach,64.1025641025641,0.0156,78
12066296,Schwarzheide,35.714285714285715,0.028,140
12066304,Senftenberg,74.6268656716418,0.0134,67
12066316,Tettau,156.25,0.0064,32
12068052,Breddin,1250,8e-4,4
12068109,Dreetz,31.64556962025317,0.0316,158
12068264,Kyritz,833.3333333333334,0.0012,6
12068324,Neustadt (Dosse),294.11764705882354,0.0034,17
12068477,Wusterhausen/Dosse,86.20689655172414,0.0116,58
12069537,Rosenau,1666.6666666666667,6e-4,3
12070008,Bad Wilsnack,20.080321285140563,0.0498,249
12070052,Breese,51.02040816326531,0.0196,98
12070060,Cumlosen,38.75968992248062,0.0258,129
12070236,Lanz,14.124293785310735,0.0708,354
12070241,Legde/Quitzöbel,178.57142857142858,0.0056,28
12070244,Lenzen (Elbe),2.918855808523059,0.3426,1713
12070246,Lenzerwische,2.581311306143521,0.3874,1937
12070348,Rühstädt,10.869565217391305,0.092,460
12070424,Wittenberge,35.2112676056338,0.0284,142
13076034,Dömitz,3.115264797507788,0.321,1605
13076049,Gorlosen,55.55555555555556,0.018,90
13076103,Neu Kaliß,20.49180327868853,0.0488,244
13076143,Vielank,8,0.125,625
14521035,Aue-Bad Schlema,1666.6666666666667,6e-4,3
14521270,Grünhainichen,5000,2e-4,1
14522080,Döbeln,52.63157894736842,0.019,95
14522140,Flöha,250,0.004,20
14522150,Frankenberg/Sa.,5000,2e-4,1
14522220,Großweitzschen,79.36507936507937,0.0126,63
14522250,Hartha,1666.6666666666667,6e-4,3
14522280,Königsfeld,294.11764705882354,0.0034,17
14522310,Leisnig,26.737967914438503,0.0374,187
14522350,Lunzenau,833.3333333333334,0.0012,6
14522460,Penig,60.97560975609756,0.0164,82
14522490,Rochlitz,13.227513227513228,0.0756,378
14522530,Seelitz,39.68253968253968,0.0252,126
14522580,Wechselburg,227.27272727272728,0.0044,22
14523100,Elsterberg,7.451564828614009,0.1342,671
14524050,Dennheritz,94.33962264150944,0.0106,53
14524080,Glauchau,106.38297872340424,0.0094,47
14524200,Mülsen,312.5,0.0032,16
14524260,Remse,20.32520325203252,0.0492,246
14524290,Waldenburg,16.129032258064516,0.062,310
14524320,Wilkau-Haßlau,5000,2e-4,1
14524330,Zwickau,52.63157894736842,0.019,95
14612000,Dresden,47.61904761904762,0.021,105
14625120,Elsterheide,294.11764705882354,0.0034,17
14625240,Hoyerswerda,2500,4e-4,2
14627040,Glaubitz,2500,4e-4,2
14627050,Gröditz,1250,8e-4,4
14627060,Großenhain,555.5555555555555,0.0018,9
14627070,Hirschstein,312.5,0.0032,16
14627140,Meißen,5000,2e-4,1
14627190,Nünchritz,833.3333333333334,0.0012,6
14627210,Radebeul,2500,4e-4,2
14627230,Riesa,208.33333333333337,0.0048,24
14627240,Röderaue,1250,8e-4,4
14627270,Strehla,238.0952380952381,0.0042,21
14627360,Zeithain,208.33333333333337,0.0048,24
14628030,Bad Schandau,500,0.002,10
14628160,Heidenau,104.16666666666669,0.0096,48
14628270,Pirna,192.30769230769232,0.0052,26
14713000,Leipzig,11.876484560570072,0.0842,421
14729030,Bennewitz,30.48780487804878,0.0328,164
14729040,Böhlen,47.61904761904762,0.021,105
14729050,Borna,23.923444976076556,0.0418,209
14729080,Colditz,19.607843137254903,0.051,255
14729100,Elstertrebnitz,384.61538461538464,0.0026,13
14729160,Grimma,19.53125,0.0512,256
14729170,Groitzsch,277.77777777777777,0.0036,18
14729250,Machern,200,0.005,25
14729260,Markkleeberg,6.954102920723226,0.1438,719
14729320,Neukieritzsch,56.17977528089887,0.0178,89
14729350,Pegau,500,0.002,10
14729360,Regis-Breitingen,17.857142857142858,0.056,280
14729370,Rötha,54.34782608695652,0.0184,92
14729380,Thallwitz,277.77777777777777,0.0036,18
14729400,Trebsen/Mulde,72.46376811594203,0.0138,69
14729410,Wurzen,51.02040816326531,0.0196,98
14729430,Zwenkau,1666.6666666666667,6e-4,3
14730020,Bad Düben,454.54545454545456,0.0022,11
14730080,Doberschütz,185.1851851851852,0.0054,27
14730110,Eilenburg,238.0952380952381,0.0042,21
14730140,Jesewitz,454.54545454545456,0.0022,11
14730160,Laußig,87.71929824561404,0.0114,57
14730180,Löbnitz,106.38297872340424,0.0094,47
14730270,Schkeuditz,1250,8e-4,4
14730360,Zschepplin,87.71929824561404,0.0114,57
15001000,Dessau-Roßlau,62.5,0.016,80
15002000,Halle (Saale),18.181818181818183,0.055,275
15081240,Kalbe (Milde),10.869565217391305,0.092,460
15082005,Aken (Elbe),5000,2e-4,1
15082015,Bitterfeld-Wolfen,2500,4e-4,2
15082241,Muldestausee,104.16666666666669,0.0096,48
15082301,Raguhn-Jeßnitz,45.45454545454545,0.022,110
15082430,Zerbst/Anhalt,161.29032258064515,0.0062,31
15083025,Am Großen Bruch,1.4363688595231254,0.6962,3481
