AGS,municipality_name
01002000,"Kiel, Landeshauptstadt"
01051003,Averlak
01051010,Brickeln
01051011,"Brunsbüttel, Stadt"
01051012,Buchholz
01051016,Burg (Dithmarschen)
01051021,Diekhusen-Fahrstedt
01051022,Dingen
01051024,Eddelak
01051034,Friedrichskoog
01051046,Helse
01051051,Hochdonn
01051057,Kaiser-Wilhelm-Koog
01051062,Kronprinzenkoog
01051064,Kuden
01051072,"Marne, Stadt"
01051073,Marnerdeich
01051076,Neufeld
01051077,Neufelderkoog
01051090,Ramhusen
01051097,Sankt Michaelisdonn
01051103,Schmedeswurth
01051118,Trennewurth
01051119,Volsemenhusen
01053006,Basedow
01053012,Börnsen
01053019,Buchhorst
01053022,Dalldorf
01053028,Escheburg
01053032,"Geesthacht, Stadt"
01053082,Lanze
01053083,"Lauenburg/ Elbe, Stadt"
01053111,Schnakenbek
01053132,Witzeeze
01056015,"Elmshorn, Stadt"
01056016,Groß Nordende
01056019,Haselau
01056020,Haseldorf
01056024,Heist
01056027,Hetlingen
01056028,Holm
01056029,Klein Nordende
01056033,Seester
01056036,Moorrege
01056037,Neuendeich
01056038,Osterhorn
01056042,Raa-Besenbek
01056045,Seestermühe
01056049,"Uetersen, Stadt"
01056050,"Wedel, Stadt"
01056051,Westerhorn
01058007,Arpsdorf
01058009,Aukrug
01058024,Borgstedt
01058026,Bovenau
01058029,Breiholz
01058034,"Büdelsdorf, Stadt"
01058035,Bünsdorf
01058044,Ehndorf
01058075,Hörsten
01058119,Oldenbüttel
01058124,Osterrönfeld
01058132,Rade b. Rendsburg
01058135,"Rendsburg, Stadt"
01058140,Schacht-Audorf
01058148,Schülp b. Rendsburg
01058158,Tackesdorf
01058172,Westerrönfeld
01060063,"Norderstedt, Stadt"
01061002,Aebtissinwisch
01061004,Altenmoor
01061005,Auufer
01061006,Bahrenfleth
01061007,Beidenfleth
01061008,Bekdorf
01061010,Bekmünde
01061012,Blomesche Wildnis
01061014,Bokhorst
01061015,Borsfleth
01061016,Breitenberg
01061017,Breitenburg
01061018,Brokdorf
01061019,Brokstedt
01061020,Büttel
01061022,Dägeling
01061023,Dammfleth
01061025,Ecklak
01061026,Elskop
01061027,Engelbrechtsche Wildnis
01061028,Fitzbek
01061029,"Glückstadt, Stadt"
01061030,Grevenkop
01061031,Gribbohm
01061034,Heiligenstedten
01061035,Heiligenstedtenerkamp
01061037,Herzhorn
01061039,Hodorf
01061040,Hohenaspe
01061041,Hohenfelde
01061044,Horst (Holstein)
01061045,Huje
01061046,"Itzehoe, Stadt"
01061047,Kaaks
01061049,"Kellinghusen, Stadt"
01061050,Kiebitzreihe
01061052,Kleve
01061053,Kollmoor
01061054,Krempdorf
01061055,"Krempe, Stadt"
01061056,Kremperheide
01061057,Krempermoor
01061058,Kronsmoor
01061059,Krummendiek
01061060,Kudensee
01061061,Lägerdorf
01061062,Landrecht
01061063,Landscheide
01061065,Lohbarbek
01061068,Moordiek
01061070,Moorhusen
01061071,Mühlenbarbek
01061072,Münsterdorf
01061073,Neuenbrook
01061074,Neuendorf b. Elmshorn
01061077,Nortorf
01061078,Nutteln
01061079,Oelixdorf
01061080,Oeschebüttel
01061082,Oldendorf
01061083,Ottenbüttel
01061088,Quarnstedt
01061089,Rade
01061092,Rethwisch
01061093,Rosdorf
01061095,Sankt Margarethen
01061096,Sarlhusen
01061101,Sommerland
01061102,Stördorf
01061103,Störkathen
01061104,Süderau
01061105,Vaale
01061106,Vaalermoor
01061109,Westermoor
01061110,Wewelsfleth
01061112,Willenscharen
01061113,"Wilster, Stadt"
01061114,Winseldorf
01061115,Wittenbergen
01061116,Wrist
01061117,Wulfsmoor
01061118,Kollmar
01061119,Neuendorf-Sachsenbande
02000000,"Hamburg, Freie und Hansestadt"
03154007,Grafhorst
03352002,Armstorf
03352004,Belum
03352008,Bülkau
03352011,"Cuxhaven, Stadt"
03352020,Hechthausen
03352022,"Hemmoor, Stadt"
03352024,Hollnseth
03352025,Ihlienworth
03352029,Lamstedt
03352036,Mittelstenahe
