AGS,municipality_name,pop_total,protection_available,protection_status,loss_portfolio_status,provider_interpretation,protection_return_period,annual_loss_probability,n_nonzero_years
03154012,Jerxheim,1061,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,58.8235294117647,0.017,85
03154027,Söllingen,1472,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,56.81818181818182,0.0176,88
03354003,Damnatz,309,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,7.256894049346879,0.1378,689
03354004,Dannenberg (Elbe),8023,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5.714285714285714,0.175,875
03354005,Gartow,1362,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,20.242914979757085,0.0494,247
03354007,Gorleben,594,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,11.061946902654867,0.0904,452
03354008,Gusborn,1228,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5.128205128205129,0.195,975
03354009,Hitzacker (Elbe),4534,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,10.37344398340249,0.0964,482
03354010,Höhbeck,626,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,8.80281690140845,0.1136,568
03354011,Jameln,1077,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5.330490405117271,0.1876,938
03354014,Langendorf,691,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,12.72264631043257,0.0786,393
03354016,Luckau (Wendland),590,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,32.467532467532465,0.0308,154
03354018,Lüchow (Wendland),9241,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,3.82262996941896,0.2616,1308
03354021,Schnackenburg,473,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5.05050505050505,0.198,990
03354023,Trebel,967,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,208.33333333333337,0.0048,24
03354025,Woltersdorf,876,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,10.75268817204301,0.093,465
03354026,Wustrow (Wendland),2567,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,4.62962962962963,0.216,1080
03355049,Amt Neuhaus,4769,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2.9585798816568047,0.338,1690
12051000,Brandenburg an der Havel,73939,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1666.6666666666667,6e-4,3
12062024,Bad Liebenwerda,8970,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,80.64516129032258,0.0124,62
12062124,Elsterwerda,7736,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,22.123893805309734,0.0452,226
12062128,Falkenberg/Elster,6115,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,833.3333333333334,0.0012,6
12062196,Gröden,1339,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1666.6666666666667,6e-4,3
12062224,Herzberg (Elster),8720,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,147.05882352941177,0.0068,34
12062232,Hirschfeld,1179,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2500,4e-4,2
12062240,Hohenleipisch,1937,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1250,8e-4,4
12062372,Plessa,2539,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,34.96503496503497,0.0286,143
12062410,Röderland,3664,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,31.446540880503143,0.0318,159
12062461,Schönewalde,2926,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2500,4e-4,2
12062464,Schraden,493,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,151.5151515151515,0.0066,33
12062500,Uebigau-Wahrenbrück,4963,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,46.2962962962963,0.0216,108
12063094,Gollenberg,395,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,39.0625,0.0256,128
12063112,Großderschau,433,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,80.64516129032258,0.0124,62
12063134,Havelaue,872,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,178.57142857142858,0.0056,28
12063161,Kleßen-Görne,340,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,172.41379310344828,0.0058,29
