AGS,municipality_name,protection_available,loss_portfolio_status,river_context_class,distance_to_elbe_m,intersects_elbe_main,near_elbe_1km,near_elbe_5km,intersects_major_wfd_river,intersects_any_wfd_river,major_wfd_names,any_wfd_names,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,protection_return_period,annual_loss_probability,n_nonzero_years
01051011,"Brunsbüttel, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,683.0533825033847,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Loher Fleet; Helser Fleet; Neufelder Fleet; Nord-Ostsee-Kanal,0.7671343511710129,0.837550357014451,0.8574863000999299,0.8669646632714536,0.8746385404832234,0.8806603307483096,NA,NA,NA
01053028,Escheburg,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,881.9682651666416,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Brookwetterung; Bis,0.01302341263118343,0.08925436423022284,0.09271776984792177,0.09271776984792177,0.09271776984792177,0.1678563188084073,NA,NA,NA
01053032,"Geesthacht, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Linau; Elbe,0.08909768876873897,0.1030936972882433,0.10339538919647669,0.10339538919647669,0.10369707707085218,0.1051973812937889,NA,NA,NA
01053082,Lanze,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,34.877873412702094,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Lanzer Graben/Augang; Elbe-Lübeck-Kanal,0.5054487877531857,0.5054487877531857,0.5054487877531857,0.6178240878939563,0.6200375891195593,0.6200375891195593,NA,NA,NA
01053083,"Lauenburg/ Elbe, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Lanzer Graben/Augang; Augraben; Elbe-Lübeck-Kanal; Elbe,0.21997465882738831,0.21997465882738831,0.21997465882738831,0.2323302034293608,0.25556623157671204,0.25556623157671204,NA,NA,NA
01053111,Schnakenbek,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe,0.0929598338498047,0.09606952903841832,0.09762435284528372,0.09840176839081274,0.09917919645604772,0.0999566093458815,NA,NA,NA
01056019,Haselau,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,712.8343230206837,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Hauptgraben; Pinnau (Unterlauf),0.8350965128812052,0.8494820325245132,0.8631714277096308,0.8918489079814563,0.8925419159028238,0.9004114759849295,NA,NA,NA
01056027,Hetlingen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,305.2605643038909,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Lanner-Kuhlenfleth; Wedeler Au UL / Hetlinger Binnenelbe,0.8113401099546512,0.8649269340529805,0.8692506547329938,0.8704554991925774,0.8927437149854452,0.908274906154917,NA,NA,NA
01056045,Seestermühe,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,536.9853441121975,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Außenpriel; Krückau; Pinnau (Unterlauf),0.6621575566869062,0.6685693803158892,0.7211263017373785,0.7331081163294892,0.7557924588402214,0.7677569324744716,NA,NA,NA
01056050,"Wedel, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,255.7693971262065,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Wedeler Au; Wedeler Au UL / Hetlinger Binnenelbe,0.1938164127605714,0.1938164127605714,0.19530242639517503,0.19977780671629028,0.2213937902010617,0.22164069695131913,NA,NA,NA
01061018,Brokdorf,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,755.0234787702024,FALSE,TRUE,TRUE,FALSE,TRUE,NA,"Graben A / Kuskoppermoor; Hollwettern, Peuser Wettern",0.9797521195591196,0.9827268077807428,0.9827268077807428,0.9857014881651418,0.9857014881651418,0.9857014881651418,NA,NA,NA
01061020,Büttel,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,838.5552425616961,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,0.8708411742355833,0.8719664725361449,0.8863140672980064,0.9209204318366864,0.922045729807833,0.9242963262991511,NA,NA,NA
01061029,"Glückstadt, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,681.5907369780455,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Schwarzwasser UL; Langenhalsener Wetter; Kremper und Herzhorner Rhin,0.652054308898553,0.685636250292101,0.7011491336173157,0.7881795556822334,0.811521059459407,0.8273627444662581,NA,NA,NA
01061074,Neuendorf b. Elmshorn,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,608.8942024651802,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Krückau; Langenhalsener Wetter,0.90874319659668,0.9113283380867468,0.9226775531867356,0.9556307680696572,0.9556307680696572,0.9556307680696572,NA,NA,NA
01061095,Sankt Margarethen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,566.3237664489562,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Graben A / Kuskoppermoor,0.9580677779023372,0.9580677779023372,0.9599014370465072,0.969986569720157,0.9757096049872472,0.9807464523480812,NA,NA,NA
01061110,Wewelsfleth,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,772.1442378773411,FALSE,TRUE,TRUE,FALSE,TRUE,NA,"Stör UL und NG; Hollwettern, Peuser Wettern",0.8634407741006143,0.8772823246860895,0.8887904917687354,0.9507235860812888,0.9507235860812888,0.9507235860812888,NA,NA,NA
01061118,Kollmar,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,417.38930475300816,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Langenhalsener Wetter,0.9489908172421724,0.9493824899095292,0.9612486467339292,0.9850388763175074,0.987913078902871,0.9894793151343518,NA,NA,NA
02000000,"Hamburg, Freie und Hansestadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Brookwetterung; Wedeler Au; Mühlenau / Düpenau; Bille bei Reinbek; Elbe; Osterbek; Schleusengraben; Tarpenbek,0.3408099500184498,0.3793997248511709,0.3889765652169426,0.3985524348100749,0.404643182500326,0.4256298939210757,NA,NA,NA
03352011,"Cuxhaven, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,574.3077284482949,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Altenbrucher Kanal; Landwehrkanal,0.00145158037508313,0.0250045220914193,0.10058053266179565,0.1624303542875587,0.2092299037712568,0.24307248336335935,NA,NA,NA
03352046,"Otterndorf, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,618.1049170495396,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Schiffahrtsweg Elbe-Weser (Hadelner Kanal); Medem,0.41224377741132023,0.47974362439093265,0.5527061578703445,0.5792205273291272,0.6027279905599032,0.6483517834068193,NA,NA,NA
03353007,Drage,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Ilmenau,Elbe; Ilmenau; Roddau; Neetze; Schleusengraben,0.8613111275508547,0.9235267022167112,0.9271131635572524,0.9277708983459096,0.9297441233817878,0.9616316138517832,NA,NA,NA
03353023,Marschacht,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Ilmenau,Elbe; Ilmenau; Neetze,0.8749378445029204,0.9438690249760668,0.9477271431285924,0.9503987166241408,0.9548594679880684,0.9736078866021284,NA,NA,NA
