variable,PC,loading,abs_loading
q_HH1,PC1,-0.31871979695635405,0.31871979695635405
q_newfBGu15_bev,PC1,-0.3059785070846144,0.3059785070846144
m_Q07_HA_DIST,PC1,0.29254180596681517,0.29254180596681517
a_hh_kind,PC1,0.2908685476185458,0.2908685476185458
m_G02_SUP_DIST,PC1,0.28823303980710574,0.28823303980710574
m_Q01_APO_DIST,PC1,0.2844182291749556,0.2844182291749556
m_P01_PRIM_DIST,PC1,0.27270835114647873,0.27270835114647873
q_alo_u25_einw,PC1,-0.26097665766629646,0.26097665766629646
q_kaufkraft,PC2,-0.3842374335100172,0.3842374335100172
q_einkst_bev,PC2,-0.37941735654123904,0.37941735654123904
a_hheink_niedrig,PC2,-0.2988530436516284,0.2988530436516284
m_P01_PRIM_DIST,PC2,-0.2739465016984439,0.2739465016984439
a_bev65um,PC2,-0.2645235338097452,0.2645235338097452
m_Q01_APO_DIST,PC2,-0.2519666536931624,0.2519666536931624
m_OEV20_DIST,PC2,-0.24292602531251206,0.24292602531251206
a_bev_0006,PC2,0.24068081312213002,0.24068081312213002
q_svw,PC3,0.4775525370671548,0.4775525370671548
q_newfBGu15_bev,PC3,0.3339866992458547,0.3339866992458547
q_HH1,PC3,0.3153160479916515,0.3153160479916515
a_ALGII_SGBII,PC3,-0.31262868340872485,0.31262868340872485
a_Minijobs,PC3,0.3100877352776066,0.3100877352776066
a_hh_kind,PC3,-0.26308487196245833,0.26308487196245833
m_OEV20_DIST,PC3,0.25804572790809505,0.25804572790809505
m_Q07_HA_DIST,PC3,0.22373834275676646,0.22373834275676646
a_bev_0006,PC4,0.5534414751311045,0.5534414751311045
a_bev65um,PC4,-0.4184770883954857,0.4184770883954857
a_aloLang,PC4,0.38802751304519967,0.38802751304519967
a_hh_kind,PC4,0.2952256859074409,0.2952256859074409
q_alo_ü55_einw,PC4,0.23265920386817904,0.23265920386817904
q_alo_u25_einw,PC4,0.20651101236461047,0.20651101236461047
q_kaufkraft,PC4,0.19207926608281797,0.19207926608281797
a_bb_4G,PC4,-0.17043289495739594,0.17043289495739594
a_ewfBG_allein,PC5,-0.6091105645829346,0.6091105645829346
a_ALGII_SGBII,PC5,0.36872653601546135,0.36872653601546135
a_bb_50Mbits,PC5,-0.34847904999453777,0.34847904999453777
a_hheink_niedrig,PC5,-0.2895714340205959,0.2895714340205959
q_kaufkraft,PC5,-0.2568675818230891,0.2568675818230891
a_aloLang,PC5,0.24348043125699287,0.24348043125699287
q_alo_ü55_einw,PC5,0.21185425635191316,0.21185425635191316
q_einkst_bev,PC5,-0.16723409167815448,0.16723409167815448
a_hheink_niedrig,PC6,0.42337103929194725,0.42337103929194725
q_svw,PC6,0.4027448672055345,0.4027448672055345
a_Minijobs,PC6,0.3668570144390604,0.3668570144390604
