PC,Eigenvalue,Variance,Cumulative,retained_70pct,retained_kaiser
1,5.569303884717414,0.24214364716162665,0.24214364716162665,TRUE,TRUE
2,3.7652054639260077,0.16370458538808727,0.4058482325497139,TRUE,TRUE
3,1.9109421877419717,0.08308444294530311,0.488932675495017,TRUE,TRUE
4,1.360928140972299,0.059170788737926035,0.5481034642329431,TRUE,TRUE
5,1.1800925354010399,0.05130837110439303,0.5994118353373361,TRUE,TRUE
6,1.0374629085610947,0.04510708298091715,0.6445189183182533,TRUE,TRUE
7,0.988335292164119,0.042971099659309515,0.6874900179775628,TRUE,FALSE
8,0.8867638047180857,0.03855494803122111,0.7260449660087839,TRUE,FALSE
9,0.8293485303227013,0.03605863175316092,0.7621035977619448,FALSE,FALSE
10,0.7598306730558554,0.03303611621981979,0.7951397139817646,FALSE,FALSE
11,0.7109552197875311,0.030911096512501346,0.826050810494266,FALSE,FALSE
12,0.5534153638610824,0.02406153755917749,0.8501123480534435,FALSE,FALSE
13,0.4979486354965044,0.021649940673761057,0.8717622887272045,FALSE,FALSE
14,0.4896589441001744,0.021289519308703233,0.8930518080359078,FALSE,FALSE
15,0.45266244611686735,0.019680975918124663,0.9127327839540325,FALSE,FALSE
16,0.407650289187751,0.017723925616858736,0.9304567095708912,FALSE,FALSE
17,0.33065859774333645,0.014376460771449408,0.9448331703423406,FALSE,FALSE
18,0.2878409966622706,0.01251482594183785,0.9573479962841784,FALSE,FALSE
19,0.2553787297989536,0.011103423034737112,0.9684514193189155,FALSE,FALSE
20,0.21822921622072047,0.009488226792205236,0.9779396461111208,FALSE,FALSE
21,0.20217426332704583,0.008790185362045469,0.9867298314731663,FALSE,FALSE
22,0.15709219464821447,0.006830095419487585,0.9935599268926538,FALSE,FALSE
23,0.14812168146895957,0.006440073107346067,0.9999999999999999,FALSE,FALSE
