AGS,mun_name,share_alg2_sgb2,share_bg_single_parent,share_bg_5plus,share_bg_with_children,share_sgb2_with_housing_costs,unemp_count,share_longterm_unemp,unemp_u25_per_1000,unemp_55plus_per_1000,income_tax_per_capita,purchasing_power,trade_tax_per_capita,tax_revenue_total,pop_total,pop_female,pop_male,pop_corrected,share_age_0_3,share_age_3_6,share_age_6_18,share_age_18_25,share_age_25_30,share_age_30_50,share_age_50_65,share_age_65_75,share_age_65plus,share_age_75plus,natural_pop_change,migration_balance,working_age_15_65_count,old_age_dependency,youth_dependency,young_old_ratio,households_total,share_single_households,share_households_with_children,share_hh_income_high,share_hh_income_medium,share_hh_income_low,students_total_per_1000,students_18_25_per_1000,students_fh_per_1000,gp_general_per_1000,gp_primary_per_1000,internists_per_1000,pediatricians_per_1000_children,doctors_total_per_1000,share_bb_1000mbit,share_bb_100mbit,share_bb_50mbit,share_4g,dist_supermarket_m,dist_pharmacy_m,dist_gp_m,dist_public_transport_m,dist_primary_school_m,pop_density_per_km2,employment_density_per_km2,share_alg2_sgb2_year,share_bg_single_parent_year,share_bg_5plus_year,share_bg_with_children_year,share_sgb2_with_housing_costs_year,unemp_count_year,share_longterm_unemp_year,unemp_u25_per_1000_year,unemp_55plus_per_1000_year,income_tax_per_capita_year,purchasing_power_year,trade_tax_per_capita_year,tax_revenue_total_year,pop_total_year,pop_female_year,pop_male_year,pop_corrected_year,share_age_0_3_year,share_age_3_6_year,share_age_6_18_year,share_age_18_25_year,share_age_25_30_year,share_age_30_50_year,share_age_50_65_year,share_age_65_75_year,share_age_65plus_year,share_age_75plus_year,natural_pop_change_year,migration_balance_year,working_age_15_65_count_year,old_age_dependency_year,youth_dependency_year,young_old_ratio_year,households_total_year,share_single_households_year,share_households_with_children_year,share_hh_income_high_year,share_hh_income_medium_year,share_hh_income_low_year,students_total_per_1000_year,students_18_25_per_1000_year,students_fh_per_1000_year,gp_general_per_1000_year,gp_primary_per_1000_year,internists_per_1000_year,pediatricians_per_1000_children_year,doctors_total_per_1000_year,share_bb_1000mbit_year,share_bb_100mbit_year,share_bb_50mbit_year,share_4g_year,dist_supermarket_m_year,dist_pharmacy_m_year,dist_gp_m_year,dist_public_transport_m_year,dist_primary_school_m_year,pop_density_per_km2_year,employment_density_per_km2_year
01001000,"Flensburg, Stadt",37.26,57.68,6.77,33.59,40.24,4131,32.03,3.51,5.72,409.91,26301.48,935.82,1593.14,96431,48878,47553,96431,2.54,2.69,10.32,10.39,8.58,25.72,19.74,9.74,20.01,10.27,-4.01,5.26,64697,29.83,19.22,73.78,1.84,53.65,21.27,23.03,49.82,27.15,94.69,91.09,32.5,3.53,6.34,1.97,7.26,19.95,98.69,99.53,99.68,100,450.9,616.48,481.43,168.99,592.08,1699.82,2518.67,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01002000,"Kiel, Landeshauptstadt",36.87,57.06,7.49,32.43,41.91,10581,35.22,2.76,6.05,482.25,26792.26,1049.63,1722.74,251751,128671,123080,251751,2.55,2.51,9.89,10.42,9.52,26.28,19.53,9.42,19.3,9.88,-2.9,9.04,171806,28.29,18.25,71.19,1.85,53.94,20.95,20.04,49.17,30.79,138.19,132.67,32.87,3.96,6.44,1.72,7.93,22.63,94.95,98.86,99.13,100,424.34,473.49,357.93,183.46,554.93,2121.8,3229.41,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01003000,"Lübeck, Hansestadt",37.73,57.9,6.4,32.11,40.24,9216,38.02,3.72,5.89,477.46,28153.49,704.09,1411.67,217061,112798,104263,217061,2.32,2.46,10.31,7.86,6.97,24.83,21.91,10.91,23.34,12.43,-6.74,11.31,139437,36.34,19.33,62.91,1.88,52.05,22.79,20.56,49.52,29.93,63.2,80.43,24.21,4.3,6.99,1.99,7.8,21.7,90.73,97.74,98.19,100,535.97,775.96,506.18,206.7,553.84,1013.4,1504.65,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01004000,"Neumünster, Stadt",38.35,55.31,7.13,35.28,38.08,3604,37.71,4.5,6.11,424.01,27680.96,924.1,1568.64,79461,40017,39444,79461,2.59,2.58,10.96,7.84,6.18,24.35,22.56,11.15,22.94,11.79,-7.2,14.46,50816,35.87,20.5,69.52,1.98,46.7,26.47,24.21,49.35,26.44,0,0,0,2.79,5.71,1.65,6.77,15.09,97.79,98.74,98.95,100,528.51,679.39,800.85,175.44,671.77,1108.86,1711.92,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051001,Albersdorf,38.52,54.48,5.52,33.1,37.42,123,23.58,4.81,4.71,369.34,27767.05,615.88,1138.27,3766,1995,1771,3766,2.55,3.21,13.14,6.53,4.97,21.99,22.89,11.21,24.72,13.52,-9.49,28.68,2251,41.36,25.94,64.4,2.16,38.19,31.36,22.42,47.65,29.93,0,0,0,8.13,8.13,0,0,16.26,87.91,97.02,98.23,100,468.91,633.94,725.04,362.23,664.59,219.98,286.92,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051002,Arkebek,32.69,20,40,40,41.8,6,16.67,3.45,3.7,460.66,28156.62,16.02,629.13,232,106,126,232,2.59,4.74,13.36,8.62,6.03,20.69,28.45,7.33,15.52,8.19,0,-17.24,157,22.93,24.84,57.89,2.19,43.4,31.13,29.25,43.4,27.36,0,0,0,0,0,0,0,0,85.71,94.51,94.51,100,2753.72,2847.4,3277.65,475.39,3290.6,33.53,35.26,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051003,Averlak,41.76,41.67,0,33.33,32.66,10,20,1.72,1.59,523.32,29081.87,94.05,754.04,590,293,297,590,2.37,0.85,9.15,7.29,6.1,21.53,31.36,14.07,21.36,7.29,0,33.9,406,31.03,14.29,42.86,2.03,35.74,22.68,27.49,51.2,21.31,0,0,0,0,0,0,0,0,78.54,78.54,78.54,100,2505.12,6034.96,3010.15,318.72,3088.75,65.12,73.29,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051004,Bargenstedt,44.17,70,0,30,36.51,14,14.29,2.86,1.5,453.23,30488.19,441.94,1044.81,946,484,462,946,3.17,3.7,12.47,5.07,4.76,24.95,20.51,12.9,25.37,12.47,-6.59,44.4,545,44.04,29.54,59.09,2.34,29.95,34.65,24.01,51.98,24.01,0,0,0,0,0,0,0,0,82.22,88.4,90.86,100,4589.73,4882.99,4873.4,2283.73,662.29,79.5,94.62,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051005,Barkenholm,39.04,50,0,50,30.67,5,40,0,6.67,503.7,27898.68,109.99,752.45,172,79,93,172,1.74,2.33,7.56,2.91,5.81,24.42,24.42,12.21,30.81,18.6,0,-40.7,102,51.96,16.67,26.67,1.91,44.44,26.67,31.11,45.56,23.33,0,0,0,0,0,0,0,0,87.65,87.65,87.65,100,5700.46,6021.64,5986.55,450.85,5044.84,33.66,35.42,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2022
01051006,Barlt,41.49,52.63,15.79,31.58,37.99,17,29.41,3.08,3.25,531.47,27009.88,2304.37,2735.81,741,369,372,741,2.7,2.83,12.96,6.34,5.26,22.13,24.16,14.17,23.62,9.45,-1.34,2.7,447,39.15,26.62,51.47,2.12,42.69,32.09,27.79,48.42,23.78,0,0,0,0,0,0,0,0,100,100,100,100,5957.55,6034.58,5979.93,497.36,5465.82,32.39,36.58,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
01051008,Bergewöhrden,,,,,,0,0,0,0,519.46,36071.44,-112.63,632.66,35,18,17,35,0,0,5.71,20,2.86,20,28.57,8.57,22.86,14.29,0,57.14,25,32,8,0,1.75,80,15,30,35,35,0,0,0,0,0,0,0,0,89.47,89.47,89.47,100,3942.31,5008.06,4993.27,3558.13,5119.66,13.26,12.88,,,,,,2023,2019,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2022
01051010,Brickeln,44.25,83.33,0,16.67,35.82,5,40,5,6.45,545.22,23963.12,219.48,890.24,185,84,101,185,1.62,1.08,8.65,7.57,4.86,26.49,30.27,10.27,19.46,9.19,-5.21,-37.84,134,26.87,11.19,100,2.06,31.11,27.78,23.33,41.11,35.56,0,0,0,0,0,0,0,0,91.76,91.76,91.76,100,2494.91,2836.56,2533.04,1673.98,2533.04,30.48,32.13,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
