Kennziffer,n_variables_available,n_variables_total,coverage_pct,state
03154501,6,51,11.7647058823529,03
03154506,6,51,11.7647058823529,03
03158502,6,51,11.7647058823529,03
03158503,6,51,11.7647058823529,03
03255502,6,51,11.7647058823529,03
03255504,6,51,11.7647058823529,03
03255508,6,51,11.7647058823529,03
03457501,6,51,11.7647058823529,03
08317971,6,51,11.7647058823529,08
09175452,6,51,11.7647058823529,09
09176451,6,51,11.7647058823529,09
09187451,6,51,11.7647058823529,09
09187452,6,51,11.7647058823529,09
09189452,6,51,11.7647058823529,09
09272453,6,51,11.7647058823529,09
09272455,6,51,11.7647058823529,09
09272456,6,51,11.7647058823529,09
09272457,6,51,11.7647058823529,09
09272459,6,51,11.7647058823529,09
09272463,6,51,11.7647058823529,09
09273451,6,51,11.7647058823529,09
09273453,6,51,11.7647058823529,09
09371452,6,51,11.7647058823529,09
09374452,6,51,11.7647058823529,09
09375451,6,51,11.7647058823529,09
09375452,6,51,11.7647058823529,09
09376455,6,51,11.7647058823529,09
09471453,6,51,11.7647058823529,09
09471456,6,51,11.7647058823529,09
09471457,6,51,11.7647058823529,09
09471459,6,51,11.7647058823529,09
09471460,6,51,11.7647058823529,09
09471461,6,51,11.7647058823529,09
09471462,6,51,11.7647058823529,09
09472454,6,51,11.7647058823529,09
09472463,6,51,11.7647058823529,09
09472464,6,51,11.7647058823529,09
09472470,6,51,11.7647058823529,09
09473452,6,51,11.7647058823529,09
09473453,6,51,11.7647058823529,09
09473454,6,51,11.7647058823529,09
09475454,6,51,11.7647058823529,09
09476451,6,51,11.7647058823529,09
09476453,6,51,11.7647058823529,09
09478451,6,51,11.7647058823529,09
09479455,6,51,11.7647058823529,09
09479457,6,51,11.7647058823529,09
09479459,6,51,11.7647058823529,09
09479462,6,51,11.7647058823529,09
09479463,6,51,11.7647058823529,09
09571451,6,51,11.7647058823529,09
09572451,6,51,11.7647058823529,09
09572453,6,51,11.7647058823529,09
09572455,6,51,11.7647058823529,09
09572456,6,51,11.7647058823529,09
09572460,6,51,11.7647058823529,09
09574453,6,51,11.7647058823529,09
09574458,6,51,11.7647058823529,09
09574461,6,51,11.7647058823529,09
09574463,6,51,11.7647058823529,09
09575451,6,51,11.7647058823529,09
09576451,6,51,11.7647058823529,09
09576452,6,51,11.7647058823529,09
09576454,6,51,11.7647058823529,09
09576455,6,51,11.7647058823529,09
09671451,6,51,11.7647058823529,09
09671458,6,51,11.7647058823529,09
09671461,6,51,11.7647058823529,09
09672451,6,51,11.7647058823529,09
09672454,6,51,11.7647058823529,09
09672455,6,51,11.7647058823529,09
09672456,6,51,11.7647058823529,09
09672457,6,51,11.7647058823529,09
09672458,6,51,11.7647058823529,09
09672461,6,51,11.7647058823529,09
09672462,6,51,11.7647058823529,09
09672463,6,51,11.7647058823529,09
09672464,6,51,11.7647058823529,09
09672465,6,51,11.7647058823529,09
09672466,6,51,11.7647058823529,09
09672468,6,51,11.7647058823529,09
09673451,6,51,11.7647058823529,09
09673452,6,51,11.7647058823529,09
09673453,6,51,11.7647058823529,09
09673454,6,51,11.7647058823529,09
09673455,6,51,11.7647058823529,09
09673456,6,51,11.7647058823529,09
09673457,6,51,11.7647058823529,09
09673458,6,51,11.7647058823529,09
09676452,6,51,11.7647058823529,09
09676455,6,51,11.7647058823529,09
09677453,6,51,11.7647058823529,09
09677455,6,51,11.7647058823529,09
09677456,6,51,11.7647058823529,09
09677457,6,51,11.7647058823529,09
09677458,6,51,11.7647058823529,09
09677459,6,51,11.7647058823529,09
09677463,6,51,11.7647058823529,09
09678451,6,51,11.7647058823529,09
09678452,6,51,11.7647058823529,09
09678453,6,51,11.7647058823529,09
09678454,6,51,11.7647058823529,09
09678455,6,51,11.7647058823529,09
09678456,6,51,11.7647058823529,09
09678457,6,51,11.7647058823529,09
09679451,6,51,11.7647058823529,09
09772451,6,51,11.7647058823529,09
09774451,6,51,11.7647058823529,09
09774452,6,51,11.7647058823529,09
09775452,6,51,11.7647058823529,09
09775454,6,51,11.7647058823529,09
09775455,6,51,11.7647058823529,09
09779452,6,51,11.7647058823529,09
09779453,6,51,11.7647058823529,09
09780451,6,51,11.7647058823529,09
03255506,10,51,19.6078431372549,03
09273452,10,51,19.6078431372549,09
09475453,10,51,19.6078431372549,09
01053105,11,51,21.5686274509804,01
01060014,11,51,21.5686274509804,01
03151501,11,51,21.5686274509804,03
03153504,11,51,21.5686274509804,03
03154502,11,51,21.5686274509804,03
03154503,11,51,21.5686274509804,03
03154504,11,51,21.5686274509804,03
03155501,11,51,21.5686274509804,03
03158501,11,51,21.5686274509804,03
03159501,11,51,21.5686274509804,03
03255501,11,51,21.5686274509804,03
03255503,11,51,21.5686274509804,03
03255505,11,51,21.5686274509804,03
03354501,11,51,21.5686274509804,03
03354502,11,51,21.5686274509804,03
06431200,11,51,21.5686274509804,06
06435200,11,51,21.5686274509804,06
06633200,11,51,21.5686274509804,06
06636200,11,51,21.5686274509804,06
09172452,11,51,21.5686274509804,09
09172454,11,51,21.5686274509804,09
09173451,11,51,21.5686274509804,09
09173452,11,51,21.5686274509804,09
09175451,11,51,21.5686274509804,09
09175453,11,51,21.5686274509804,09
09180451,11,51,21.5686274509804,09
09181451,11,51,21.5686274509804,09
09183451,11,51,21.5686274509804,09
09184452,11,51,21.5686274509804,09
09184454,11,51,21.5686274509804,09
09184457,11,51,21.5686274509804,09
09188451,11,51,21.5686274509804,09
09189451,11,51,21.5686274509804,09
09272451,11,51,21.5686274509804,09
09272452,11,51,21.5686274509804,09
09272458,11,51,21.5686274509804,09
09272460,11,51,21.5686274509804,09
09272461,11,51,21.5686274509804,09
09374458,11,51,21.5686274509804,09
09471452,11,51,21.5686274509804,09
09471454,11,51,21.5686274509804,09
09471455,11,51,21.5686274509804,09
