inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
a_ALGII_SGBII,01,1069,1106,96.6546112115732
a_ALGII_SGBII,02,1,1,100
a_ALGII_SGBII,03,941,964,97.6141078838174
a_ALGII_SGBII,04,2,2,100
a_ALGII_SGBII,05,396,396,100
a_ALGII_SGBII,06,421,425,99.0588235294118
a_ALGII_SGBII,07,2208,2301,95.9582790091265
a_ALGII_SGBII,08,1100,1103,99.728014505893
a_ALGII_SGBII,09,2055,2228,92.2351885098743
a_ALGII_SGBII,10,52,52,100
a_ALGII_SGBII,11,1,1,100
a_ALGII_SGBII,12,413,413,100
a_ALGII_SGBII,13,724,726,99.7245179063361
a_ALGII_SGBII,14,418,418,100
a_ALGII_SGBII,15,218,218,100
a_ALGII_SGBII,16,604,624,96.7948717948718
a_BG1P,01,1064,1106,96.2025316455696
a_BG1P,02,1,1,100
a_BG1P,03,941,964,97.6141078838174
a_BG1P,04,2,2,100
a_BG1P,05,396,396,100
a_BG1P,06,421,425,99.0588235294118
a_BG1P,07,2183,2301,94.8717948717949
a_BG1P,08,1098,1103,99.546690843155
a_BG1P,09,2055,2228,92.2351885098743
a_BG1P,10,52,52,100
a_BG1P,11,1,1,100
a_BG1P,12,413,413,100
a_BG1P,13,725,726,99.8622589531681
a_BG1P,14,418,418,100
a_BG1P,15,218,218,100
a_BG1P,16,596,624,95.5128205128205
a_BG5um,01,1064,1106,96.2025316455696
a_BG5um,02,1,1,100
a_BG5um,03,941,964,97.6141078838174
a_BG5um,04,2,2,100
a_BG5um,05,396,396,100
a_BG5um,06,421,425,99.0588235294118
a_BG5um,07,2183,2301,94.8717948717949
a_BG5um,08,1098,1103,99.546690843155
a_BG5um,09,2055,2228,92.2351885098743
a_BG5um,10,52,52,100
a_BG5um,11,1,1,100
a_BG5um,12,413,413,100
a_BG5um,13,725,726,99.8622589531681
a_BG5um,14,418,418,100
a_BG5um,15,218,218,100
a_BG5um,16,596,624,95.5128205128205
a_BGKind,01,1064,1106,96.2025316455696
a_BGKind,02,1,1,100
a_BGKind,03,941,964,97.6141078838174
a_BGKind,04,2,2,100
a_BGKind,05,396,396,100
a_BGKind,06,421,425,99.0588235294118
a_BGKind,07,2183,2301,94.8717948717949
a_BGKind,08,1098,1103,99.546690843155
a_BGKind,09,2055,2228,92.2351885098743
a_BGKind,10,52,52,100
a_BGKind,11,1,1,100
a_BGKind,12,413,413,100
a_BGKind,13,725,726,99.8622589531681
a_BGKind,14,418,418,100
a_BGKind,15,218,218,100
a_BGKind,16,596,624,95.5128205128205
a_Unterkunft_SGBII,01,1069,1106,96.6546112115732
a_Unterkunft_SGBII,02,1,1,100
a_Unterkunft_SGBII,03,941,964,97.6141078838174
a_Unterkunft_SGBII,04,2,2,100
a_Unterkunft_SGBII,05,396,396,100
a_Unterkunft_SGBII,06,421,425,99.0588235294118
a_Unterkunft_SGBII,07,2208,2301,95.9582790091265
a_Unterkunft_SGBII,08,1100,1103,99.728014505893
a_Unterkunft_SGBII,09,2055,2228,92.2351885098743
a_Unterkunft_SGBII,10,52,52,100
a_Unterkunft_SGBII,11,1,1,100
a_Unterkunft_SGBII,12,413,413,100
a_Unterkunft_SGBII,13,724,726,99.7245179063361
a_Unterkunft_SGBII,14,418,418,100
a_Unterkunft_SGBII,15,218,218,100
a_Unterkunft_SGBII,16,604,624,96.7948717948718
a_aloLang,01,1104,1106,99.8191681735986
a_aloLang,02,1,1,100
a_aloLang,03,942,964,97.7178423236515
a_aloLang,04,2,2,100
a_aloLang,05,396,396,100
a_aloLang,06,421,425,99.0588235294118
a_aloLang,07,2301,2301,100
a_aloLang,08,1102,1103,99.909338168631
a_aloLang,09,2056,2228,92.2800718132855
a_aloLang,10,52,52,100
a_aloLang,11,1,1,100
a_aloLang,12,413,413,100
a_aloLang,13,726,726,100
a_aloLang,14,418,418,100
a_aloLang,15,218,218,100
a_aloLang,16,624,624,100
a_bb_1000Mbits,01,1106,1106,100
a_bb_1000Mbits,02,1,1,100
a_bb_1000Mbits,03,964,964,100
a_bb_1000Mbits,04,2,2,100
a_bb_1000Mbits,05,396,396,100
a_bb_1000Mbits,06,425,425,100
a_bb_1000Mbits,07,2301,2301,100
a_bb_1000Mbits,08,1103,1103,100
a_bb_1000Mbits,09,2228,2228,100
a_bb_1000Mbits,10,52,52,100
a_bb_1000Mbits,11,1,1,100
a_bb_1000Mbits,12,413,413,100
a_bb_1000Mbits,13,726,726,100
a_bb_1000Mbits,14,418,418,100
a_bb_1000Mbits,15,218,218,100
a_bb_1000Mbits,16,624,624,100
a_bb_100Mbits,01,1106,1106,100
a_bb_100Mbits,02,1,1,100
a_bb_100Mbits,03,964,964,100
a_bb_100Mbits,04,2,2,100
a_bb_100Mbits,05,396,396,100
a_bb_100Mbits,06,425,425,100
a_bb_100Mbits,07,2301,2301,100
a_bb_100Mbits,08,1103,1103,100
a_bb_100Mbits,09,2228,2228,100
a_bb_100Mbits,10,52,52,100
a_bb_100Mbits,11,1,1,100
a_bb_100Mbits,12,413,413,100
a_bb_100Mbits,13,726,726,100
a_bb_100Mbits,14,418,418,100
a_bb_100Mbits,15,218,218,100
a_bb_100Mbits,16,624,624,100
a_bb_4G,01,1106,1106,100
a_bb_4G,02,1,1,100
a_bb_4G,03,963,964,99.896265560166
a_bb_4G,04,2,2,100
a_bb_4G,05,396,396,100
a_bb_4G,06,425,425,100
a_bb_4G,07,2293,2301,99.6523250760539
a_bb_4G,08,1103,1103,100
a_bb_4G,09,2226,2228,99.9102333931777
a_bb_4G,10,52,52,100
a_bb_4G,11,1,1,100
a_bb_4G,12,413,413,100
a_bb_4G,13,726,726,100
a_bb_4G,14,418,418,100
a_bb_4G,15,218,218,100
a_bb_4G,16,621,624,99.5192307692308
a_bb_50Mbits,01,1106,1106,100
a_bb_50Mbits,02,1,1,100
a_bb_50Mbits,03,964,964,100
a_bb_50Mbits,04,2,2,100
a_bb_50Mbits,05,396,396,100
a_bb_50Mbits,06,425,425,100
a_bb_50Mbits,07,2301,2301,100
a_bb_50Mbits,08,1103,1103,100
a_bb_50Mbits,09,2228,2228,100
a_bb_50Mbits,10,52,52,100
a_bb_50Mbits,11,1,1,100
a_bb_50Mbits,12,413,413,100
a_bb_50Mbits,13,726,726,100
a_bb_50Mbits,14,418,418,100
a_bb_50Mbits,15,218,218,100
a_bb_50Mbits,16,624,624,100
a_bev0003,01,1104,1106,99.8191681735986
a_bev0003,02,1,1,100
a_bev0003,03,942,964,97.7178423236515
a_bev0003,04,2,2,100
a_bev0003,05,396,396,100
a_bev0003,06,421,425,99.0588235294118
a_bev0003,07,2301,2301,100
a_bev0003,08,1102,1103,99.909338168631
a_bev0003,09,2056,2228,92.2800718132855
a_bev0003,10,52,52,100
a_bev0003,11,1,1,100
a_bev0003,12,413,413,100
a_bev0003,13,726,726,100
a_bev0003,14,418,418,100
a_bev0003,15,218,218,100
a_bev0003,16,624,624,100
a_bev0306,01,1104,1106,99.8191681735986
a_bev0306,02,1,1,100
a_bev0306,03,942,964,97.7178423236515
a_bev0306,04,2,2,100
a_bev0306,05,396,396,100
a_bev0306,06,421,425,99.0588235294118
a_bev0306,07,2301,2301,100
a_bev0306,08,1102,1103,99.909338168631
a_bev0306,09,2056,2228,92.2800718132855
a_bev0306,10,52,52,100
a_bev0306,11,1,1,100
a_bev0306,12,413,413,100
a_bev0306,13,726,726,100
a_bev0306,14,418,418,100
a_bev0306,15,218,218,100
a_bev0306,16,624,624,100
a_bev0618,01,1104,1106,99.8191681735986
a_bev0618,02,1,1,100
a_bev0618,03,942,964,97.7178423236515
a_bev0618,04,2,2,100
a_bev0618,05,396,396,100
