inkar_code,municipalities_with_value,municipalities_total,coverage_pct,missing_municipalities,states_with_any_data,present_in_all_16_states,full_coverage_all_16_states,min_state_coverage_pct,mean_state_coverage_pct,max_state_coverage_pct,project_name,analysis_name,official_short,official_name,main_dimension,sub_dimension
a_BG5um,10584,10978,96.4110038258335,394,16,TRUE,FALSE,92.2351885098743,98.4315135468507,100,share_bg_5plus,exposure_share_bg_5plus,Große Bedarfsgemeinschaften,Anteil der Bedarfsgemeinschaften mit 5 und mehr Personen an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften
a_BG1P,10584,10978,96.4110038258335,394,16,TRUE,FALSE,92.2351885098743,98.4315135468507,100,share_bg_single_parent,exposure_share_bg_single_parent,Einpersonen-Bedarfsgemeinschaften,Anteil der Bedarfsgemeinschaften mit 1 Person an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften
a_BGKind,10584,10978,96.4110038258335,394,16,TRUE,FALSE,92.2351885098743,98.4315135468507,100,share_bg_with_children,exposure_share_bg_with_children,Bedarfsgemeinschaften mit Kindern,Anteil der Bedarfsgemeinschaften mit Kindern an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften
a_ALGII_SGBII,10623,10978,96.7662597923119,355,16,TRUE,FALSE,92.2351885098743,98.6105258969315,100,share_alg2_sgb2,exposure_share_alg2_sgb2,ALG II-Leistungen an SGBII,Anteil Arbeitslosengeld II an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen
a_Unterkunft_SGBII,10623,10978,96.7662597923119,355,16,TRUE,FALSE,92.2351885098743,98.6105258969315,100,share_sgb2_with_housing_costs,exposure_share_sgb2_with_housing_costs,Leistungen für Unterkunft an SGBII,Anteil Leistungen für Unterkunft an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen
q_kinderarzt_kinder,10774,10978,98.1417380214975,204,16,TRUE,FALSE,92.2800718132855,99.2812769890109,100,pediatricians_per_1000_children,exposure_pediatricians_per_1000_children,Kinderärzte,Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Medizinische Versorgung,(no sub-dimension)
q_ärzte_bev,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,doctors_total_per_1000,exposure_doctors_total_per_1000,Ärzte,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_allgemeinärzte_bev,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,gp_general_per_1000,exposure_gp_general_per_1000,Allgemeinärzte,Allgemeinärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_hausarzt_bev,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,gp_primary_per_1000,exposure_gp_primary_per_1000,Hausärzte,Hausärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_internist_bev,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,internists_per_1000,exposure_internists_per_1000,Internisten,Internisten je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
