inkar_code,project_name,analysis_name
a_ALGII_SGBII,share_alg2_sgb2,exposure_share_alg2_sgb2
a_BG1P,share_bg_single_parent,exposure_share_bg_single_parent
a_BG5um,share_bg_5plus,exposure_share_bg_5plus
a_BGKind,share_bg_with_children,exposure_share_bg_with_children
a_Unterkunft_SGBII,share_sgb2_with_housing_costs,exposure_share_sgb2_with_housing_costs
a_aloLang,share_longterm_unemp,exposure_share_longterm_unemp
q_alo_u25_einw,unemp_u25_per_1000,exposure_unemp_u25_per_1000
q_alo_ü55_einw,unemp_55plus_per_1000,exposure_unemp_55plus_per_1000
q_einkst_bev,income_tax_per_capita,exposure_income_tax_per_capita
q_kaufkraft,purchasing_power,exposure_purchasing_power
q_gewst_bev,trade_tax_per_capita,exposure_trade_tax_per_capita
d_steuereinnahme,tax_revenue_total,exposure_tax_revenue_total
a_bev0003,share_age_0_3,exposure_share_age_0_3
a_bev0306,share_age_3_6,exposure_share_age_3_6
a_bev0618,share_age_6_18,exposure_share_age_6_18
a_bev1825,share_age_18_25,exposure_share_age_18_25
a_bev2530,share_age_25_30,exposure_share_age_25_30
a_bev3050,share_age_30_50,exposure_share_age_30_50
a_bev5065,share_age_50_65,exposure_share_age_50_65
a_bev6575,share_age_65_75,exposure_share_age_65_75
a_bev65um,share_age_65plus,exposure_share_age_65plus
a_bev75um,share_age_75plus,exposure_share_age_75plus
i_saldo_nat,natural_pop_change,exposure_natural_pop_change
i_wans,migration_balance,exposure_migration_balance
q_abhg_alt,old_age_dependency,exposure_old_age_dependency
q_abhg_jung,youth_dependency,exposure_youth_dependency
r_ewf_jungalt,young_old_ratio,exposure_young_old_ratio
q_HH1,share_single_households,exposure_share_single_households
a_hh_kind,share_households_with_children,exposure_share_households_with_children
a_hheink_hoch,share_hh_income_high,exposure_share_hh_income_high
a_hheink_mittel,share_hh_income_medium,exposure_share_hh_income_medium
a_hheink_niedrig,share_hh_income_low,exposure_share_hh_income_low
q_stud,students_total_per_1000,exposure_students_total_per_1000
q_stud_1825,students_18_25_per_1000,exposure_students_18_25_per_1000
q_stud_fh,students_fh_per_1000,exposure_students_fh_per_1000
q_allgemeinärzte_bev,gp_general_per_1000,exposure_gp_general_per_1000
q_hausarzt_bev,gp_primary_per_1000,exposure_gp_primary_per_1000
q_internist_bev,internists_per_1000,exposure_internists_per_1000
q_kinderarzt_kinder,pediatricians_per_1000_children,exposure_pediatricians_per_1000_children
q_ärzte_bev,doctors_total_per_1000,exposure_doctors_total_per_1000
a_bb_1000Mbits,share_bb_1000mbit,exposure_share_bb_1000mbit
a_bb_100Mbits,share_bb_100mbit,exposure_share_bb_100mbit
a_bb_50Mbits,share_bb_50mbit,exposure_share_bb_50mbit
a_bb_4G,share_4g,exposure_share_4g
m_G02_SUP_DIST,dist_supermarket_m,exposure_dist_supermarket_m
m_Q01_APO_DIST,dist_pharmacy_m,exposure_dist_pharmacy_m
m_Q07_HA_DIST,dist_gp_m,exposure_dist_gp_m
m_OEV20_DIST,dist_public_transport_m,exposure_dist_public_transport_m
m_P01_PRIM_DIST,dist_primary_school_m,exposure_dist_primary_school_m
q_bev_fl,pop_density_per_km2,exposure_pop_density_per_km2
q_bevsva_qkm,employment_density_per_km2,exposure_employment_density_per_km2
