AGS,Gemeinde,shortlist_available_n,shortlist_available_pct
01001000,000,13,100
01002000,000,13,100
01003000,000,13,100
01004000,000,13,100
01051011,011,13,100
01051044,044,13,100
01051003,003,13,100
01051010,010,13,100
01051012,012,13,100
01051016,016,13,100
01051022,022,13,100
01051024,024,13,100
01051026,026,13,100
01051032,032,13,100
01051037,037,13,100
01051051,051,13,100
01051064,064,13,100
01051089,089,13,100
01051097,097,13,100
01051110,110,13,100
01051021,021,13,100
01051034,034,13,100
01051046,046,13,100
01051057,057,13,100
01051062,062,13,100
01051072,072,13,100
01051073,073,13,100
01051076,076,13,100
01051077,077,13,100
01051090,090,13,100
01051103,103,13,100
01051118,118,13,100
01051119,119,13,100
01051005,005,13,100
01051008,008,11,84.61538461538461
01051019,019,13,100
01051020,020,13,100
01051023,023,13,100
01051030,030,13,100
01051035,035,13,100
01051036,036,13,100
01051038,038,11,84.61538461538461
01051047,047,13,100
01051049,049,13,100
01051052,052,13,100
01051053,053,13,100
01051058,058,13,100
01051060,060,13,100
01051061,061,13,100
01051065,065,13,100
01051068,068,13,100
01051071,071,13,100
01051080,080,13,100
01051088,088,13,100
01051092,092,13,100
01051096,096,13,100
01051100,100,13,100
01051102,102,13,100
01051114,114,13,100
01051117,117,13,100
01051120,120,13,100
01051125,125,13,100
01051131,131,11,84.61538461538461
01051133,133,13,100
01051136,136,13,100
01051139,139,13,100
01051141,141,13,100
01051048,048,13,100
01051067,067,13,100
01051069,069,13,100
01051075,075,13,100
01051081,081,13,100
01051082,082,13,100
01051087,087,13,100
01051107,107,13,100
01051113,113,13,100
01051122,122,13,100
01051130,130,13,100
01051001,001,13,100
01051002,002,13,100
01051004,004,13,100
01051006,006,13,100
01051015,015,13,100
01051017,017,13,100
01051027,027,13,100
01051028,028,13,100
01051039,039,13,100
01051054,054,13,100
01051063,063,13,100
01051074,074,13,100
01051078,078,13,100
01051083,083,13,100
01051085,085,13,100
01051086,086,13,100
01051098,098,13,100
01051099,099,13,100
01051104,104,11,84.61538461538461
01051126,126,13,100
01051134,134,13,100
01051135,135,13,100
01051137,137,13,100
01051138,138,13,100
01051013,013,13,100
01051014,014,13,100
01051033,033,11,84.61538461538461
01051043,043,13,100
01051045,045,13,100
01051050,050,11,84.61538461538461
01051079,079,13,100
01051084,084,13,100
01051093,093,13,100
01051105,105,13,100
01051108,108,13,100
01051109,109,13,100
01051121,121,13,100
01051127,127,13,100
01051128,128,13,100
01051129,129,13,100
01051132,132,13,100
01051140,140,13,100
01053032,032,13,100
01053083,083,13,100
01053090,090,13,100
01053100,100,13,100
01053116,116,13,100
01053129,129,13,100
01053008,008,13,100
01053009,009,13,100
01053011,011,13,100
01053024,024,13,100
01053034,034,13,100
01053061,061,13,100
01053067,067,13,100
01053075,075,13,100
01053094,094,13,100
01053103,103,13,100
01053120,120,13,100
01053002,002,13,100
01053005,005,13,100
01053013,013,13,100
01053014,014,13,100
01053037,037,13,100
01053056,056,13,100
01053084,084,13,100
01053095,095,13,100
01053113,113,13,100
01053125,125,13,100
01053134,134,13,100
01053010,010,11,84.61538461538461
01053015,015,13,100
01053020,020,13,100
01053029,029,13,100
01053035,035,13,100
01053046,046,13,100
01053048,048,13,100
01053064,064,13,100
01053080,080,13,100
01053092,092,13,100
01053104,104,13,100
01053115,115,13,100
01053119,119,13,100
01053126,126,13,100
01053132,132,13,100
01053003,003,13,100
01053012,012,13,100
01053023,023,13,100
01053028,028,13,100
01053050,050,13,100
01053053,053,13,100
01053072,072,13,100
01053131,131,13,100
01053133,133,13,100
01053135,135,13,100
01053006,006,13,100
01053019,019,11,84.61538461538461
01053022,022,13,100
01053058,058,13,100
01053073,073,13,100
01053074,074,13,100
01053082,082,13,100
01053087,087,13,100
01053111,111,13,100
01053128,128,13,100
01053001,001,11,84.61538461538461
01053004,004,13,100
01053016,016,13,100
01053018,018,13,100
01053026,026,13,100
01053030,030,13,100
01053033,033,13,100
01053040,040,13,100
01053041,041,13,100
01053043,043,13,100
01053051,051,13,100
01053054,054,13,100
01053057,057,13,100
01053062,062,13,100
01053066,066,13,100
01053078,078,13,100
01053088,088,13,100
01053093,093,13,100
01053098,098,13,100
01053102,102,13,100
01053107,107,13,100
01053110,110,13,100
01053117,117,13,100
01053123,123,13,100
01053136,136,13,100
01053007,007,13,100
01053017,017,13,100
01053021,021,13,100
01053027,027,13,100
01053031,031,13,100
01053036,036,13,100
01053042,042,13,100
01053045,045,13,100
01053047,047,13,100
01053049,049,13,100
01053052,052,13,100
01053059,059,13,100
01053060,060,13,100
01053070,070,13,100
01053071,071,13,100
01053076,076,13,100
01053089,089,13,100
01053091,091,13,100
01053106,106,13,100
01053025,025,13,100
01053038,038,13,100
01053039,039,13,100
01053044,044,13,100
01053068,068,13,100
01053069,069,13,100
01053077,077,13,100
01053079,079,13,100
01053081,081,13,100
01053085,085,13,100
01053086,086,13,100
01053096,096,13,100
01053097,097,13,100
01053099,099,13,100
01053101,101,13,100
01053108,108,13,100
01053109,109,13,100
01053112,112,13,100
01053114,114,11,84.61538461538461
01053118,118,13,100
01053121,121,13,100
01053122,122,13,100
01053124,124,13,100
01053127,127,13,100
01053130,130,13,100
01053105,105,3,23.076923076923077
01054033,033,13,100
01054056,056,13,100
01054108,108,13,100
01054138,138,13,100
01054168,168,13,100
01054035,035,11,84.61538461538461
01054036,036,13,100
01054040,040,11,84.61538461538461
01054063,063,13,100
01054072,072,13,100
01054090,090,13,100
01054095,095,13,100
01054100,100,11,84.61538461538461
01054104,104,13,100
01054113,113,13,100
01054134,134,13,100
01054135,135,13,100
01054140,140,11,84.61538461538461
01054145,145,13,100
01054148,148,13,100
01054150,150,13,100
01054046,046,13,100
01054061,061,13,100
01054078,078,13,100
01054149,149,13,100
01054003,003,13,100
01054004,004,13,100
01054011,011,13,100
01054013,013,13,100
01054041,041,13,100
01054057,057,13,100
01054079,079,13,100
01054092,092,13,100
01054101,101,13,100
01054118,118,13,100
01054123,123,13,100
01054144,144,13,100
01054152,152,13,100
01054039,039,8,61.53846153846154
01054050,050,10,76.92307692307693
01054074,074,10,76.92307692307693
01054103,103,11,84.61538461538461
01054005,005,13,100
01054015,015,13,100
01054025,025,11,84.61538461538461
01054083,083,13,100
01054085,085,12,92.3076923076923
01054087,087,13,100
01054089,089,12,92.3076923076923
01054094,094,13,100
01054098,098,13,100
01054129,129,11,84.61538461538461
01054143,143,13,100
01054158,158,11,84.61538461538461
01054160,160,12,92.3076923076923
01054163,163,13,100
01054164,164,13,100
01054001,001,13,100
01054009,009,13,100
01054016,016,13,100
01054017,017,13,100
01054018,018,13,100
01054022,022,13,100
01054027,027,13,100
01054034,034,13,100
01054048,048,13,100
01054055,055,13,100
01054062,062,13,100
01054065,065,13,100
01054068,068,13,100
01054073,073,13,100
01054076,076,13,100
01054077,077,11,84.61538461538461
01054086,086,13,100
01054088,088,13,100
01054109,109,13,100
01054110,110,13,100
01054124,124,13,100
01054125,125,13,100
01054126,126,13,100
01054131,131,13,100
01054136,136,13,100
01054142,142,13,100
01054154,154,13,100
01054165,165,13,100
01054166,166,13,100
01054167,167,13,100
01054007,007,13,100
01054023,023,13,100
01054026,026,13,100
01054032,032,13,100
01054042,042,13,100
01054043,043,13,100
01054052,052,13,100
01054054,054,13,100
01054070,070,13,100
01054084,084,13,100
01054091,091,13,100
01054096,096,13,100
01054097,097,13,100
01054099,099,13,100
01054105,105,13,100
01054106,106,13,100
01054116,116,13,100
01054119,119,13,100
01054120,120,13,100
01054130,130,11,84.61538461538461
01054132,132,13,100
01054141,141,13,100
01054156,156,13,100
01054157,157,11,84.61538461538461
01054159,159,13,100
01054161,161,13,100
01054162,162,13,100
01054002,002,13,100
01054006,006,13,100
01054010,010,13,100
01054012,012,13,100
01054014,014,13,100
01054019,019,13,100
01054020,020,13,100
01054024,024,13,100
01054037,037,13,100
01054038,038,13,100
01054045,045,13,100
01054059,059,13,100
01054071,071,13,100
01054075,075,13,100
01054080,080,13,100
01054093,093,13,100
01054121,121,13,100
01054128,128,13,100
01054146,146,13,100
01055001,001,13,100
01055004,004,13,100
01055007,007,13,100
01055010,010,13,100
01055012,012,13,100
01055016,016,13,100
01055018,018,13,100
01055021,021,13,100
01055025,025,13,100
01055028,028,13,100
01055032,032,13,100
01055033,033,13,100
01055035,035,13,100
01055040,040,13,100
01055041,041,13,100
01055042,042,13,100
01055044,044,13,100
01055046,046,13,100
01055014,014,13,100
01055015,015,13,100
01055017,017,13,100
01055022,022,13,100
01055031,031,13,100
01055043,043,13,100
01055006,006,13,100
01055011,011,13,100
01055020,020,13,100
01055023,023,13,100
01055027,027,13,100
01055029,029,13,100
01055036,036,13,100
01055002,002,13,100
01055024,024,13,100
01055037,037,13,100
01055038,038,13,100
01055039,039,13,100
01056002,002,13,100
01056005,005,13,100
01056015,015,13,100
01056018,018,13,100
01056021,021,13,100
