domain,variable,loading,abs_loading
deprivation,v_dep_income_tax,0.506879888885758,0.506879888885758
deprivation,v_dep_purchasing_power,0.49784702154123944,0.49784702154123944
deprivation,v_dep_income_low,0.44521858216186344,0.44521858216186344
deprivation,v_dep_alg2,0.36064212137989,0.36064212137989
deprivation,v_dep_sgb2_housing,-0.3513290030204437,0.3513290030204437
deprivation,v_dep_longterm_unemp,0.17064832639767172,0.17064832639767172
deprivation,v_dep_unemp_u25,0.11994113599764401,0.11994113599764401
age,v_age_65plus,0.5932060315364794,0.5932060315364794
age,v_age_old_dep,0.5922914648936439,0.5922914648936439
age,v_age_75plus,0.5452498736935963,0.5452498736935963
household,v_house_single,0.7071067811879291,0.7071067811879291
household,v_house_single_parent,0.7071067811851658,0.7071067811851658
access,v_access_gp,0.501995040989979,0.501995040989979
access,v_access_pharmacy,0.4928074364563697,0.4928074364563697
access,v_access_supermarket,0.4910725678543717,0.4910725678543717
access,v_access_pt,0.38868875797049157,0.38868875797049157
access,v_access_doctors,0.26265541605971887,0.26265541605971887
access,v_access_broadband,0.20957749005448345,0.20957749005448345
