term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.8202325993826306,0.16986536215300405,-4.8287219300413735,1.374121326524457e-6,-1.1604896110581124,-0.4933932642082528
gisd,0.2579485127261616,0.0743880297792612,3.4676078058741058,5.251130640437717e-4,0.11288168781264266,0.4046656405265931
eu_protection,0.11367274218784676,0.07185074279104185,1.582067738929752,0.11363410742529725,-0.02768313530733313,0.25420228827949587
density,2.410052067170884,0.42413975031989054,5.6822122080120945,1.3296353562446466e-8,1.6604292585909388,3.3288613789208736
population,-3.0742156031703405,0.6216524330405886,-4.945232158320243,7.605317262815341e-7,-4.425033500322221,-1.980265916884273
mun_area,3.5271722502100356,0.5729011525315632,6.156685554958298,7.428313000750892e-10,2.5221527367001806,4.773652063404127
state_model03,-0.7409781369806074,0.22815617893635357,-3.247679464281836,0.001163502632827358,-1.1906099837745667,-0.29549543156278235
state_model09,-16.651967032279185,393.44443620082865,-0.04232355448477965,0.9662407683434984,-278.606654929048,-275.71308362478163
state_model12,0.12094276534709482,0.23146687293972937,0.5225057210609424,0.6013182641584283,-0.3323409880121337,0.5755505352361294
state_model13,-2.1388152523678974,0.3281247855976783,-6.518298361618894,7.110944335565558e-11,-2.8063970729016186,-1.5155985148163813
state_model14,1.149790049785112,0.19946354948070344,5.764411857597797,8.194308856229084e-9,0.7609825109603584,1.5433501536550018
state_model15,0.966697661316829,0.2967011952657491,3.258152231071998,0.0011214023185657112,0.38870983783750185,1.5527215939669543
state_model16,-3.1923551046101584,0.3351808649811276,-9.524276109228087,1.661961510869975e-21,-3.879461598011399,-2.5596675307878214
state_modelsmall_state,15.435785918207305,2762.3925192730226,0.00558783221809098,0.9955415781463703,-417.4192453869832,NA
