variable,PC,loading,abs_loading
v_dep_purchasing_power,PC2,0.36198833134589214,0.36198833134589214
v_age_65plus,PC2,0.3582206988570366,0.3582206988570366
v_age_old_dep,PC2,0.34993455310103344,0.34993455310103344
v_dep_alg2,PC2,0.3458748901452679,0.3458748901452679
v_dep_income_low,PC2,0.33416151910585756,0.33416151910585756
v_dep_sgb2_housing,PC2,-0.3239418452154586,0.3239418452154586
v_access_pt,PC2,0.2153071450411338,0.2153071450411338
v_access_pharmacy,PC2,0.21108401846381447,0.21108401846381447
v_opt_supermarket,PC2,0.19718916894358526,0.19718916894358526
v_access_gp,PC2,0.19094749621094775,0.19094749621094775
v_dep_purchasing_power,PC4,0.48464237389743214,0.48464237389743214
v_dep_income_low,PC4,0.45148635292879585,0.45148635292879585
v_age_75plus,PC4,-0.34594896275504006,0.34594896275504006
v_age_old_dep,PC4,-0.3181280404108565,0.3181280404108565
v_age_65plus,PC4,-0.31578060706197403,0.31578060706197403
v_dep_unemp_u25,PC4,0.28973602868682785,0.28973602868682785
v_opt_doctors,PC4,-0.19952117700796293,0.19952117700796293
v_access_gp,PC4,-0.17924235502376257,0.17924235502376257
v_dep_longterm_unemp,PC4,0.12774883909913695,0.12774883909913695
v_opt_supermarket,PC4,-0.12662378556549048,0.12662378556549048
